

# ATTENUATION COEFFICIENTS CALCULATED WITH
#MuPlot v1.20(c) University of Bologna, 2012                             

#SUBSTANCE: SIO2_more_data      


#     ELEMENT    WEIGHT FRACTION
#           Si           0.467
#           O            0.533


#   ENERGY      TAU         SIGMA COHER.   SIGMA INCOHER.       MU
#    [keV]    [cm^2/g]         [cm^2/g]      [cm^2/g]        [cm^2/g]

   1.0000   0.3199E+04      0.1917E+01      0.1015E-01     0.3201E+04
   1.5000   0.1088E+04      0.1835E+01      0.1897E-01     0.1090E+04
   1.8400   0.6230E+03      0.1727E+01      0.2523E-01     0.6248E+03
   1.8401   0.2024E+04      0.1727E+01      0.2523E-01     0.2025E+04
   2.0000   0.1648E+04      0.1673E+01      0.2817E-01     0.1649E+04
   3.0000   0.5812E+03      0.1355E+01      0.4576E-01     0.5826E+03
   3.5000   0.3843E+03      0.1221E+01      0.5381E-01     0.3856E+03
   4.0000   0.2666E+03      0.1104E+01      0.6131E-01     0.2678E+03
   4.5000   0.1921E+03      0.1003E+01      0.6827E-01     0.1932E+03
   5.0000   0.1427E+03      0.9145E+00      0.7471E-01     0.1437E+03
   5.5000   0.1087E+03      0.8375E+00      0.8067E-01     0.1096E+03
   6.0000   0.8456E+02      0.7699E+00      0.8619E-01     0.8541E+02
   6.5000   0.6699E+02      0.7103E+00      0.9130E-01     0.6779E+02
   7.0000   0.5390E+02      0.6574E+00      0.9603E-01     0.5466E+02
   7.5000   0.4397E+02      0.6104E+00      0.1004E+00     0.4468E+02
   8.0000   0.3629E+02      0.5684E+00      0.1045E+00     0.3697E+02
  10.0000   0.1855E+02      0.4379E+00      0.1181E+00     0.1910E+02
  15.0000   0.5323E+01      0.2586E+00      0.1396E+00     0.5722E+01
  20.0000   0.2157E+01      0.1713E+00      0.1510E+00     0.2479E+01
  30.0000   0.5936E+00      0.9142E-01      0.1603E+00     0.8453E+00
  40.0000   0.2360E+00      0.5679E-01      0.1619E+00     0.4546E+00
  50.0000   0.1152E+00      0.3865E-01      0.1605E+00     0.3143E+00
  60.0000   0.6417E-01      0.2797E-01      0.1578E+00     0.2499E+00
  80.0000   0.2557E-01      0.1654E-01      0.1512E+00     0.1934E+00
 100.0000   0.1259E-01      0.1088E-01      0.1446E+00     0.1681E+00
 150.0000   0.3533E-02      0.4986E-02      0.1303E+00     0.1388E+00
 200.0000   0.1461E-02      0.2830E-02      0.1192E+00     0.1235E+00
 300.0000   0.4352E-03      0.1259E-02      0.1036E+00     0.1053E+00
 400.0000   0.1898E-03      0.7052E-03      0.9306E-01     0.9395E-01
 500.0000   0.1017E-03      0.4495E-03      0.8543E-01     0.8598E-01
 600.0000   0.6191E-04      0.3113E-03      0.7962E-01     0.7999E-01
 800.0000   0.2911E-04      0.1749E-03      0.7132E-01     0.7153E-01
1000.0000   0.1664E-04      0.1122E-03      0.6567E-01     0.6580E-01
