#http://henke.lbl.gov/optical_constants/
#Data for Z=14, E=1-100 keV
#                  [µ/rho]
#    E             Total
#   keV            cm2 g-1
1.067676E+00  1.2251E+03
1.141345E+00  1.0186E+03
1.220098E+00  8.4779E+02
1.304285E+00  7.0633E+02
1.394281E+00  5.8907E+02
1.490486E+00  4.9179E+02
1.593329E+00  4.1100E+02
1.703269E+00  3.4385E+02
1.802122E+00  2.9595E+02
1.820795E+00  2.8798E+02
1.829705E+00  2.8427E+02
1.837061E+00  2.8127E+02
1.848094E+00  3.3115E+03
1.875678E+00  3.2217E+03
1.946430E+00  2.9963E+03
2.080733E+00  2.5428E+03
2.224304E+00  2.1316E+03
2.377781E+00  1.7805E+03
2.541848E+00  1.4948E+03
2.717235E+00  1.2570E+03
2.904724E+00  1.0572E+03
3.105150E+00  8.8593E+02
3.319406E+00  7.4032E+02
3.548445E+00  6.1872E+02
3.793288E+00  5.1505E+02
4.055024E+00  4.2677E+02
4.334821E+00  3.5366E+02
4.633924E+00  2.9311E+02
4.953664E+00  2.4297E+02
5.295467E+00  2.0142E+02
5.660855E+00  1.6700E+02
6.051453E+00  1.3848E+02
6.469004E+00  1.1486E+02
6.915365E+00  9.5280E+01
7.392525E+00  7.9055E+01
7.902609E+00  6.5607E+01
8.447890E+00  5.4160E+01
9.030794E+00  4.4613E+01
9.653919E+00  3.6539E+01
1.032004E+01  2.9938E+01
1.103212E+01  2.4541E+01
1.179334E+01  2.0129E+01
1.260708E+01  1.6519E+01
1.347697E+01  1.3566E+01
1.440688E+01  1.1150E+01
1.540095E+01  9.1726E+00
1.646362E+01  7.5540E+00
1.759961E+01  6.2286E+00
1.881398E+01  5.1429E+00
2.011215E+01  4.2534E+00
2.149988E+01  3.5245E+00
2.298338E+01  2.9268E+00
2.456923E+01  2.4365E+00
2.626450E+01  2.0342E+00
2.807676E+01  1.6969E+00
3.001405E+01  1.4192E+00
3.208502E+01  1.1925E+00
3.429889E+01  1.0073E+00
3.666551E+01  8.5575E-01
3.919543E+01  7.3170E-01
4.189992E+01  6.2826E-01
4.479101E+01  5.4372E-01
4.788159E+01  4.7454E-01
5.118542E+01  4.1781E-01
5.471721E+01  3.7119E-01
5.849270E+01  3.3278E-01
6.252870E+01  3.0103E-01
6.684318E+01  2.7471E-01
7.145536E+01  2.5280E-01
7.638578E+01  2.3447E-01
8.165640E+01  2.1903E-01
8.729069E+01  2.0595E-01
9.331374E+01  1.9478E-01
9.975239E+01  1.8518E-01
1.066353E+02  1.7684E-01
1.139931E+02  1.6952E-01
