,Mean_Current,Voltage,std_Current
0,1.000672e-06,2,5.76945982451e-11
1,1.00056466667e-06,1,4.37899024383e-11
2,-3.34238033333e-11,0,5.72907523605e-12
3,-1.65774133333e-10,-1,2.07199757775e-12
4,-2.01535066667e-10,-2,1.94977076316e-12
5,-2.261127e-10,-3,9.3341270972e-13
6,-2.57730533333e-10,-4,2.41794487438e-12
7,-2.856953e-10,-5,3.99443450065e-12
8,-3.08271266667e-10,-6,9.69811879811e-13
9,-3.33730866667e-10,-7,4.4403599744e-12
10,-3.593437e-10,-8,8.09971682633e-13
11,-3.91227666667e-10,-9,3.37071889101e-12
12,-4.193743e-10,-10,2.60465702285e-12
13,-4.46219066667e-10,-11,2.27256137626e-12
14,-4.72994366667e-10,-12,1.03233315467e-12
15,-5.021629e-10,-13,4.34295721907e-12
16,-5.38441033333e-10,-14,6.10833644147e-12
17,-5.66671466667e-10,-15,3.06060194987e-12
18,-6.04461866667e-10,-16,1.74885597717e-12
19,-6.332244e-10,-17,1.26664039359e-12
20,-6.70160133333e-10,-18,3.14219492959e-12
21,-6.99006333333e-10,-19,6.21290369062e-12
22,-7.39386e-10,-20,4.73541381789e-12
23,-7.69856e-10,-21,2.74591062248e-12
24,-8.055884e-10,-22,2.11809548573e-12
25,-8.44022466667e-10,-23,6.32496620984e-13
26,-8.796293e-10,-24,4.72413235702e-12
27,-9.10574233333e-10,-25,3.67401853047e-12
28,-9.45033233333e-10,-26,3.44429622258e-12
29,-9.70743633333e-10,-27,4.94223798451e-12
30,-9.938656e-10,-28,1.8097713281e-12
31,-1.011809e-09,-29,4.21643482894e-12
32,-1.03024166667e-09,-30,4.72205367281e-12
33,-1.044014e-09,-31,1.9801959499e-12
34,-1.05658233333e-09,-32,1.97163727789e-12
35,-1.07167066667e-09,-33,3.32092851808e-12
36,-1.08733266667e-09,-34,2.56518021892e-12
37,-1.09845933333e-09,-35,7.38495016157e-13
38,-1.11280566667e-09,-36,2.04934938185e-12
39,-1.12741766667e-09,-37,3.71901934505e-12
40,-1.14366733333e-09,-38,2.85535302351e-12
41,-1.159217e-09,-39,2.45817506835e-12
42,-1.17297566667e-09,-40,6.74184115967e-13
43,-1.19000866667e-09,-41,2.71200065552e-12
44,-1.209926e-09,-42,3.69971061931e-12
45,-1.22112233333e-09,-43,1.29801908906e-12
46,-1.23642033333e-09,-44,4.07761706011e-12
47,-1.25530233333e-09,-45,2.64861980829e-12
48,-1.27149566667e-09,-46,4.53250904271e-12
49,-1.29610166667e-09,-47,2.05915861998e-12
50,-1.31355466667e-09,-48,3.33211767833e-12
51,-1.338664e-09,-49,3.72053230959e-12
52,-1.34974966667e-09,-50,4.48618333206e-12
53,-1.374957e-09,-51,5.3555866781e-12
54,-1.39506933333e-09,-52,6.07030566684e-12
