V,Vcin,Vcout,Iin,Ierr,Icout,Icerr,,,Pcin,Pcout,%,R,Vcable,Vincal,diff
2.5,0,0,0,0,0,0,,,0,0,#DIV/0!,,,,
3,0,0,0,0,0,0,,,0,0,#DIV/0!,,,,
5,4.4,0.5,0.133,0.001,0.593,0.001,,,0.5852,0,0,,,,
5.5,4.7,0.643,0.159,0.0001,0.669,0.001,,,0.7473,0.2965,39.6761675364646,,,,
6,5.1,0.714,0.183,0.0001,0.7441,0.0001,,,0.9333,0.430167,46.0909675345548,,,,
6.5,5.5,0.761,0.207,0.0001,0.828,0,,,1.1385,0.5312874,46.6655599472991,,,,
7,5.9,0.819,0.225,0.0001,0.8895,0,,,1.3275,0.630108,47.4657627118644,,,,
7.5,6.3,0.878,0.243,0.001,0.93,0.0001,,,1.5309,0.7285005,47.5864197530864,,,,
8,6.8,0.938,0.26,0.001,0.95,0.0001,,,1.768,0.81654,46.1843891402715,,,,
8.5,7.2,0.997,0.278,0.0001,1.0845,0.0001,,,2.0016,0.8911,44.5193844924061,,,,
9,7.6,1.056,0.296,0.001,1.1487,0.0001,,,2.2496,1.0812465,48.0639447012802,,,,
9.5,8,1.114,0.313,0.0001,1.2118,0,,,2.504,1.2130272,48.4435782747604,,,,
10,8.5,1.172,0.329,0.0001,1.274,0,,,2.7965,1.3499452,48.2726694081888,,,,
10.5,8.9,1.228,0.345,0.0001,1.335,0,,,3.0705,1.493128,48.6281713076046,,,,
11,9.3,1.283,0.36,0.0001,1.36,0,,,3.348,1.63938,48.9659498207885,,,,
11.5,9.7,1.339,0.374,0.0001,1.39,0,,,3.6278,1.74488,48.0974695407685,,,,
12,10.2,1.394,0.389,0.0001,1.517,0,,,3.9678,1.86121,46.9078582589848,,,,
12.5,10.6,1.45,0.404,0.0001,1.577,0.0001,,,4.2824,2.114698,49.3811414160284,,,,
13,11,1.509,0.421,0.0001,1.641,0.001,,,4.631,2.28665,49.3770244007774,,,,
13.5,11.5,1.572,0.44,0.0001,1.7,0.01,,,5.06,2.476269,48.9381225296443,,,,
14,11.8,1.64,0.466,0.0001,1.786,1E-05,,,5.4988,2.6724,48.5996944787954,,,,
14.5,12.1,1.731,0.509,0.0001,1.882,0.001,,,6.1589,2.92904,47.5578431213366,,,,
15,12.3,1.87,0.588,0.0001,2.037,0.002,,,7.2324,3.257742,45.0437199269952,,,,
15.2,12,2.01,0.685,0.0001,2.18,0.01,,,8.22,3.80919,46.3405109489051,,,,
15.5,8.8,3.3,1.447,0.0001,3.6,0,,,12.7336,4.3818,34.4113212288748,,,,
16,10.2,3.3,1.251,0.0001,3.58,0.0001,,,12.7602,11.88,93.1019889970377,,,,
17,12.1,3.3,1.066,0.0001,3.58,0.0001,,,12.8986,11.814,91.5913354937745,,,,
18,13.6,3.3,0.953,0.0001,3.581,0.0001,,,12.9608,11.814,91.1517807542744,,,,
19,15,3.3,0.87,0.0001,3.581,0.0001,,,13.05,11.8173,90.5540229885057,,,,
20,16.3,3.3,0.803,0.001,3.57,0,,,13.0889,11.8173,90.284897890579,,,,
21,17.5,3.3,0.752,0.0001,3.58,0,,,13.16,11.781,89.5212765957447,,,,
22,18.7,3.3,0.706,0.0001,3.58,0,,,13.2022,11.814,89.4850858190302,,,,
23,19.9,3.3,0.668,0.0001,3.57,0,,,13.2932,11.814,88.8725062437938,,,,
24,21.1,3.3,0.636,0.0001,3.57,0,,,13.4196,11.781,87.789501922561,,,,
25,22.2,3.3,0.607,0.0001,3.57,0,,,13.4754,11.781,87.4259762233403,,,,
26,23.2,3.3,0.582,0.0001,3.57,0.0001,,,13.5024,11.781,87.25115535016,,,,
27,24.4,3.3,0.559,0.0001,3.57,0.0001,,,13.6396,11.781,86.3735006891698,,,,
28,25.6,3.3,0.535,0.0001,3.55,0.0001,,,13.696,11.781,86.0178154205607,,,,
30,27.7,3.3,0.498,0.0001,3.56,0.0001,,,13.7946,11.715,84.9245356878778,,,,
32,29.9,3.3,0.469,0.0001,3.56,0.0001,,,14.0231,11.748,83.7760552231675,,,,
34,32,3.3,0.444,0.0001,3.56,0.0001,,,14.208,11.748,82.6858108108108,,,,
36,34,3.3,0.423,0.0001,3.56,0.0001,,,14.382,11.748,81.6854401335002,,,,
