V,Vcin,Vcout,Iin,Ierr,Icout,Icerr,,,Pcin,Pcout,%,R
2.5,0,0,0,0,0,0,,,0,0,#DIV/0!,
3,3,0,0,0,0,0,,,0,0,#DIV/0!,
3.4,3.4,0.912,0.34,0.01,0.81,0.001,,,1.156,0.73872,0.639031141868512,
3.6,3.6,1.07,0.46,0.001,0.958,0.01,,,1.656,1.02506,0.618997584541063,
3.8,3.8,1.5,0.55,0.001,1.068,0.001,,,2.09,1.602,0.766507177033493,
4,4,1.8,0.67,0.001,1.16,0.01,,,2.68,2.088,0.77910447761194,
4.5,4.5,2.5,1.5,0.01,2.1,0.05,,,6.75,5.25,0.777777777777778,
4.6,4.6,3.305,3.1,0.01,3.14,0.001,,,14.26,10.3777,0.727748948106592,
5,5,3.305,2.75,0.001,3.15,0.01,,,13.75,10.41075,0.757145454545455,
5.5,5.5,3.305,2.4,0.001,3.15,0.001,,,13.2,10.41075,0.788693181818182,
6,6,3.305,2.15,0.001,3.13,0.001,,,12.9,10.34465,0.801910852713178,
7,7,3.303,1.79,0.001,3.13,0.001,,,12.32,10.40445,0.844517045454545,
8,8,3.302,1.55,0.001,3.14,0.001,,,12,10.3777,0.864808333333333,
9,9,3.302,1.35,0.001,3.154,0.001,,,12.15,10.414508,0.857161152263374,
10,10,3.303,1.2,0.001,3.15,0.001,,,12,10.40445,0.8670375,
11,11,3.301,1.07,0.001,3.14,0.001,,,11.77,10.36514,0.880640611724724,
12,12,3.3,0.98,0.001,3.145,0.001,,,11.76,10.3785,0.882525510204082,
14,14,3.29,0.83,0.001,3.148,0.001,,,11.76,10.3785,0.882525510204082,
16,16,3.299,0.73,0.01,3.145,0.01,,,11.68,10.375355,0.888300941780822,
18,18,3.27,0.645,0.01,3.138,0.1,,,11.88,10.32402,0.869025252525252,
20,20,3.298,0.59,0.01,3.145,0.01,,,11.8,10.37221,0.879000847457627,
22,22,3.298,0.54,0.001,3.145,0.001,,,11.88,10.37221,0.87308164983165,
24,24,3.297,0.5,0.01,3.137,0.01,,,12,10.342689,0.86189075,
26,26,3.296,0.465,0.01,3.135,0.01,,,12.22,10.33296,0.845577741407528,
28,28,3.295,0.437,0.01,3.119,0.01,,,12.32,10.857025,0.881252029220779,
30,30,3.294,0.41,0.01,3.115,0.01,,,12.3,10.26081,0.834212195121951,
32,32,3.294,0.39,0.01,3.111,0.01,,,12.48,10.247634,0.821124519230769,
34,34,3.295,0.37,0.01,3.103,0.01,,,12.58,10.224385,0.81274920508744,
36,36,3.291,0.36,0.001,3.111,0.001,,,12.96,10.238301,0.789992361111111,
