x-axis,V_INC,V_OUT
second,Volt,Volt
-4.1252000E+00,-156.2500E-03,+62.5000E-03
-4.1250000E+00,-156.2500E-03,+125.0000E-03
-4.1248000E+00,-312.5000E-03,+62.5000E-03
-4.1246000E+00,-156.2500E-03,+125.0000E-03
-4.1244000E+00,-156.2500E-03,+62.5000E-03
-4.1242000E+00,-312.5000E-03,+62.5000E-03
-4.1240000E+00,-312.5000E-03,+125.0000E-03
-4.1238000E+00,-156.2500E-03,+62.5000E-03
-4.1236000E+00,-156.2500E-03,+62.5000E-03
-4.1234000E+00,-156.2500E-03,+62.5000E-03
-4.1232000E+00,-156.2500E-03,+125.0000E-03
-4.1230000E+00,-312.5000E-03,+125.0000E-03
-4.1228000E+00,-312.5000E-03,+62.5000E-03
-4.1226000E+00,-312.5000E-03,+125.0000E-03
-4.1224000E+00,-312.5000E-03,+62.5000E-03
-4.1222000E+00,-312.5000E-03,+0.0E+00
-4.1220000E+00,-156.2500E-03,+62.5000E-03
-4.1218000E+00,-156.2500E-03,-62.5000E-03
-4.1216000E+00,-312.5000E-03,+0.0E+00
-4.1214000E+00,-156.2500E-03,+125.0000E-03
-4.1212000E+00,-156.2500E-03,+62.5000E-03
-4.1210000E+00,-156.2500E-03,+62.5000E-03
-4.1208000E+00,-156.2500E-03,+62.5000E-03
-4.1206000E+00,-156.2500E-03,+62.5000E-03
-4.1204000E+00,-312.5000E-03,+62.5000E-03
-4.1202000E+00,-312.5000E-03,+62.5000E-03
-4.1200000E+00,-156.2500E-03,+62.5000E-03
-4.1198000E+00,-312.5000E-03,+62.5000E-03
-4.1196000E+00,-156.2500E-03,+62.5000E-03
-4.1194000E+00,-156.2500E-03,+62.5000E-03
-4.1192000E+00,-312.5000E-03,+125.0000E-03
-4.1190000E+00,-156.2500E-03,+125.0000E-03
-4.1188000E+00,-156.2500E-03,+62.5000E-03
-4.1186000E+00,-156.2500E-03,+62.5000E-03
-4.1184000E+00,-312.5000E-03,+62.5000E-03
-4.1182000E+00,-312.5000E-03,+125.0000E-03
-4.1180000E+00,-156.2500E-03,+62.5000E-03
-4.1178000E+00,-312.5000E-03,+125.0000E-03
-4.1176000E+00,-156.2500E-03,+62.5000E-03
-4.1174000E+00,-312.5000E-03,+125.0000E-03
-4.1172000E+00,-312.5000E-03,+125.0000E-03
-4.1170000E+00,-312.5000E-03,+0.0E+00
-4.1168000E+00,-156.2500E-03,+125.0000E-03
-4.1166000E+00,-156.2500E-03,+0.0E+00
-4.1164000E+00,-312.5000E-03,+62.5000E-03
-4.1162000E+00,-156.2500E-03,+125.0000E-03
-4.1160000E+00,-0.0E+00,+62.5000E-03
-4.1158000E+00,-312.5000E-03,+0.0E+00
-4.1156000E+00,-312.5000E-03,+125.0000E-03
-4.1154000E+00,-0.0E+00,+125.0000E-03
-4.1152000E+00,-156.2500E-03,+62.5000E-03
-4.1150000E+00,-312.5000E-03,+62.5000E-03
-4.1148000E+00,-312.5000E-03,+125.0000E-03
-4.1146000E+00,-156.2500E-03,+125.0000E-03
-4.1144000E+00,-156.2500E-03,+62.5000E-03
-4.1142000E+00,-156.2500E-03,+62.5000E-03
-4.1140000E+00,-312.5000E-03,+62.5000E-03
-4.1138000E+00,-312.5000E-03,+62.5000E-03
-4.1136000E+00,-156.2500E-03,+125.0000E-03
-4.1134000E+00,-156.2500E-03,+62.5000E-03
-4.1132000E+00,-156.2500E-03,+0.0E+00
-4.1130000E+00,-312.5000E-03,+62.5000E-03
-4.1128000E+00,-156.2500E-03,+187.5000E-03
-4.1126000E+00,-156.2500E-03,+62.5000E-03
-4.1124000E+00,-312.5000E-03,+125.0000E-03
-4.1122000E+00,-312.5000E-03,+62.5000E-03
-4.1120000E+00,-156.2500E-03,+125.0000E-03
-4.1118000E+00,-156.2500E-03,+125.0000E-03
-4.1116000E+00,-312.5000E-03,+62.5000E-03
-4.1114000E+00,-312.5000E-03,+62.5000E-03
-4.1112000E+00,-156.2500E-03,+62.5000E-03
-4.1110000E+00,-156.2500E-03,+62.5000E-03
-4.1108000E+00,-0.0E+00,+125.0000E-03
-4.1106000E+00,-156.2500E-03,+0.0E+00
-4.1104000E+00,-312.5000E-03,+0.0E+00
-4.1102000E+00,-312.5000E-03,+125.0000E-03
