x-axis,V_INS,V_INC,V_OUT
second,Volt,Volt,Volt
-4.1762000E+00,-312.5000E-03,-312.5000E-03,+62.5000E-03
-4.1761000E+00,-625.0000E-03,-0.0E+00,+62.5000E-03
-4.1760000E+00,-625.0000E-03,-625.0000E-03,+62.5000E-03
-4.1759000E+00,-312.5000E-03,-312.5000E-03,+125.0000E-03
-4.1758000E+00,-312.5000E-03,-312.5000E-03,+62.5000E-03
-4.1757000E+00,-0.0E+00,-312.5000E-03,+62.5000E-03
-4.1756000E+00,-625.0000E-03,-312.5000E-03,+62.5000E-03
-4.1755000E+00,-0.0E+00,-312.5000E-03,+0.0E+00
-4.1754000E+00,-312.5000E-03,-312.5000E-03,+125.0000E-03
-4.1753000E+00,-312.5000E-03,-312.5000E-03,+0.0E+00
-4.1752000E+00,-312.5000E-03,-312.5000E-03,+62.5000E-03
-4.1751000E+00,-312.5000E-03,-312.5000E-03,+125.0000E-03
-4.1750000E+00,-0.0E+00,-312.5000E-03,+62.5000E-03
-4.1749000E+00,+0.0E+00,-0.0E+00,+125.0000E-03
-4.1748000E+00,-312.5000E-03,+0.0E+00,+125.0000E-03
-4.1747000E+00,-0.0E+00,+0.0E+00,+62.5000E-03
-4.1746000E+00,+0.0E+00,-312.5000E-03,+62.5000E-03
-4.1745000E+00,+0.0E+00,-312.5000E-03,+62.5000E-03
-4.1744000E+00,-312.5000E-03,-312.5000E-03,+62.5000E-03
-4.1743000E+00,-312.5000E-03,-0.0E+00,+125.0000E-03
-4.1742000E+00,-312.5000E-03,-312.5000E-03,+125.0000E-03
-4.1741000E+00,-312.5000E-03,-312.5000E-03,+62.5000E-03
-4.1740000E+00,-312.5000E-03,-312.5000E-03,+125.0000E-03
-4.1739000E+00,-0.0E+00,-312.5000E-03,+62.5000E-03
-4.1738000E+00,-312.5000E-03,-312.5000E-03,+62.5000E-03
-4.1737000E+00,-0.0E+00,-312.5000E-03,+62.5000E-03
-4.1736000E+00,-625.0000E-03,-0.0E+00,+62.5000E-03
-4.1735000E+00,-0.0E+00,-312.5000E-03,+62.5000E-03
-4.1734000E+00,-312.5000E-03,-312.5000E-03,+0.0E+00
-4.1733000E+00,-312.5000E-03,-0.0E+00,+125.0000E-03
-4.1732000E+00,-0.0E+00,-312.5000E-03,+62.5000E-03
-4.1731000E+00,+0.0E+00,-312.5000E-03,+62.5000E-03
-4.1730000E+00,-312.5000E-03,-312.5000E-03,+62.5000E-03
-4.1729000E+00,-625.0000E-03,-0.0E+00,+62.5000E-03
-4.1728000E+00,-312.5000E-03,-312.5000E-03,+62.5000E-03
-4.1727000E+00,-625.0000E-03,-312.5000E-03,+62.5000E-03
-4.1726000E+00,-0.0E+00,-312.5000E-03,+0.0E+00
-4.1725000E+00,-312.5000E-03,-625.0000E-03,+62.5000E-03
-4.1724000E+00,-312.5000E-03,-312.5000E-03,+187.5000E-03
-4.1723000E+00,-312.5000E-03,-0.0E+00,+125.0000E-03
-4.1722000E+00,-0.0E+00,+0.0E+00,+62.5000E-03
-4.1721000E+00,-312.5000E-03,-625.0000E-03,+62.5000E-03
-4.1720000E+00,-312.5000E-03,-312.5000E-03,+62.5000E-03
-4.1719000E+00,-0.0E+00,-0.0E+00,+125.0000E-03
