x-axis,VREF,VOUT_FILT
second,Volt,Volt
+229.50000E-03,-468.75000E-03,+0.0E+00
+229.55000E-03,-625.00000E-03,-156.25000E-03
+229.60000E-03,-625.00000E-03,-156.25000E-03
+229.65000E-03,-625.00000E-03,-156.25000E-03
+229.70000E-03,-468.75000E-03,-156.25000E-03
+229.75000E-03,-625.00000E-03,-0.0E+00
+229.80000E-03,-625.00000E-03,-156.25000E-03
+229.85000E-03,-625.00000E-03,-156.25000E-03
+229.90000E-03,-625.00000E-03,-156.25000E-03
+229.95000E-03,-625.00000E-03,-156.25000E-03
+230.00000E-03,-625.00000E-03,-156.25000E-03
+230.05000E-03,-468.75000E-03,-312.50000E-03
+230.10000E-03,-625.00000E-03,-156.25000E-03
+230.15000E-03,-625.00000E-03,-312.50000E-03
+230.20000E-03,-625.00000E-03,-156.25000E-03
+230.25000E-03,-468.75000E-03,-156.25000E-03
+230.30000E-03,-625.00000E-03,-156.25000E-03
+230.35000E-03,-468.75000E-03,-0.0E+00
+230.40000E-03,-625.00000E-03,-156.25000E-03
+230.45000E-03,-625.00000E-03,-312.50000E-03
+230.50000E-03,-625.00000E-03,-156.25000E-03
+230.55000E-03,-625.00000E-03,-156.25000E-03
+230.60000E-03,-468.75000E-03,-156.25000E-03
+230.65000E-03,-625.00000E-03,-156.25000E-03
+230.70000E-03,-625.00000E-03,-0.0E+00
+230.75000E-03,-468.75000E-03,-156.25000E-03
+230.80000E-03,-781.25000E-03,-156.25000E-03
+230.85000E-03,-625.00000E-03,-156.25000E-03
+230.90000E-03,-625.00000E-03,-156.25000E-03
+230.95000E-03,-625.00000E-03,-0.0E+00
+231.00000E-03,-468.75000E-03,-156.25000E-03
+231.05000E-03,-625.00000E-03,-0.0E+00
+231.10000E-03,-625.00000E-03,-156.25000E-03
+231.15000E-03,-625.00000E-03,-312.50000E-03
+231.20000E-03,-625.00000E-03,-0.0E+00
+231.25000E-03,-625.00000E-03,-156.25000E-03
+231.30000E-03,-625.00000E-03,-312.50000E-03
+231.35000E-03,-625.00000E-03,-156.25000E-03
+231.40000E-03,-625.00000E-03,-0.0E+00
+231.45000E-03,-625.00000E-03,-156.25000E-03
+231.50000E-03,-625.00000E-03,-156.25000E-03
+231.55000E-03,-625.00000E-03,-156.25000E-03
+231.60000E-03,-625.00000E-03,-156.25000E-03
+231.65000E-03,-468.75000E-03,-0.0E+00
+231.70000E-03,-781.25000E-03,+0.0E+00
+231.75000E-03,-625.00000E-03,-312.50000E-03
+231.80000E-03,-625.00000E-03,-312.50000E-03
+231.85000E-03,-625.00000E-03,-156.25000E-03
+231.90000E-03,-781.25000E-03,-156.25000E-03
+231.95000E-03,-625.00000E-03,-312.50000E-03
+232.00000E-03,-468.75000E-03,-156.25000E-03
+232.05000E-03,-625.00000E-03,-312.50000E-03
+232.10000E-03,-625.00000E-03,-0.0E+00
+232.15000E-03,-625.00000E-03,-156.25000E-03
+232.20000E-03,-625.00000E-03,-312.50000E-03
+232.25000E-03,-468.75000E-03,-0.0E+00
+232.30000E-03,-781.25000E-03,-156.25000E-03
+232.35000E-03,-781.25000E-03,-312.50000E-03
+232.40000E-03,-625.00000E-03,-0.0E+00
+232.45000E-03,-625.00000E-03,+0.0E+00
+232.50000E-03,-625.00000E-03,+0.0E+00
+232.55000E-03,-468.75000E-03,-156.25000E-03
+232.60000E-03,-625.00000E-03,-156.25000E-03
+232.65000E-03,-625.00000E-03,-0.0E+00
+232.70000E-03,-625.00000E-03,-156.25000E-03
+232.75000E-03,-625.00000E-03,-156.25000E-03
+232.80000E-03,-781.25000E-03,-156.25000E-03
+232.85000E-03,-781.25000E-03,-156.25000E-03
+232.90000E-03,-625.00000E-03,-156.25000E-03
+232.95000E-03,-625.00000E-03,-156.25000E-03
+233.00000E-03,-781.25000E-03,-156.25000E-03
+233.05000E-03,-625.00000E-03,-156.25000E-03
+233.10000E-03,-625.00000E-03,-156.25000E-03
+233.15000E-03,-468.75000E-03,-156.25000E-03
+233.20000E-03,-781.25000E-03,-312.50000E-03
+233.25000E-03,-625.00000E-03,-312.50000E-03
+233.30000E-03,-468.75000E-03,-156.25000E-03
+233.35000E-03,-625.00000E-03,-156.25000E-03
+233.40000E-03,-625.00000E-03,-0.0E+00
+233.45000E-03,-781.25000E-03,-156.25000E-03
+233.50000E-03,-625.00000E-03,-156.25000E-03
+233.55000E-03,-625.00000E-03,-156.25000E-03
+233.60000E-03,-625.00000E-03,-156.25000E-03
+233.65000E-03,-625.00000E-03,-156.25000E-03
+233.70000E-03,-625.00000E-03,-156.25000E-03
+233.75000E-03,-625.00000E-03,-156.25000E-03
+233.80000E-03,-781.25000E-03,-156.25000E-03
+233.85000E-03,-468.75000E-03,-312.50000E-03
+233.90000E-03,-781.25000E-03,-312.50000E-03
+233.95000E-03,-625.00000E-03,-156.25000E-03
+234.00000E-03,-625.00000E-03,-156.25000E-03
+234.05000E-03,-625.00000E-03,-156.25000E-03
+234.10000E-03,-468.75000E-03,-156.25000E-03
+234.15000E-03,-781.25000E-03,-156.25000E-03
+234.20000E-03,-625.00000E-03,-156.25000E-03
+234.25000E-03,-625.00000E-03,-156.25000E-03
+234.30000E-03,-625.00000E-03,-156.25000E-03
+234.35000E-03,-625.00000E-03,-156.25000E-03
+234.40000E-03,-625.00000E-03,-156.25000E-03
+234.45000E-03,-625.00000E-03,-156.25000E-03
+234.50000E-03,-625.00000E-03,-156.25000E-03
+234.55000E-03,-781.25000E-03,-312.50000E-03
+234.60000E-03,-625.00000E-03,-156.25000E-03
+234.65000E-03,-468.75000E-03,-312.50000E-03
+234.70000E-03,-625.00000E-03,-156.25000E-03
+234.75000E-03,-625.00000E-03,-156.25000E-03
+234.80000E-03,-625.00000E-03,-156.25000E-03
+234.85000E-03,-625.00000E-03,-156.25000E-03
+234.90000E-03,-625.00000E-03,-156.25000E-03
+234.95000E-03,-781.25000E-03,-312.50000E-03
+235.00000E-03,-781.25000E-03,-156.25000E-03
+235.05000E-03,-625.00000E-03,-156.25000E-03
+235.10000E-03,-625.00000E-03,-156.25000E-03
+235.15000E-03,-625.00000E-03,-156.25000E-03
+235.20000E-03,-625.00000E-03,-156.25000E-03
+235.25000E-03,-625.00000E-03,-312.50000E-03
+235.30000E-03,-625.00000E-03,-156.25000E-03
+235.35000E-03,-625.00000E-03,-156.25000E-03
+235.40000E-03,-625.00000E-03,-312.50000E-03
+235.45000E-03,-781.25000E-03,-156.25000E-03
+235.50000E-03,-625.00000E-03,-156.25000E-03
+235.55000E-03,-625.00000E-03,-156.25000E-03
+235.60000E-03,-625.00000E-03,-312.50000E-03
+235.65000E-03,-468.75000E-03,-156.25000E-03
+235.70000E-03,-625.00000E-03,-156.25000E-03
+235.75000E-03,-468.75000E-03,-0.0E+00
+235.80000E-03,-625.00000E-03,-156.25000E-03
