x-axis,VREF,VDD1V2
second,Volt,Volt
-4.09960000E+00,-156.25000E-03,+0.0E+00
-4.09955000E+00,-156.25000E-03,-0.0E+00
-4.09950000E+00,-156.25000E-03,-156.25000E-03
-4.09945000E+00,-156.25000E-03,-156.25000E-03
-4.09940000E+00,-156.25000E-03,-0.0E+00
-4.09935000E+00,-0.0E+00,-156.25000E-03
-4.09930000E+00,-156.25000E-03,-0.0E+00
-4.09925000E+00,-0.0E+00,+0.0E+00
-4.09920000E+00,+0.0E+00,+0.0E+00
-4.09915000E+00,-156.25000E-03,+0.0E+00
-4.09910000E+00,-156.25000E-03,-156.25000E-03
-4.09905000E+00,-156.25000E-03,-156.25000E-03
-4.09900000E+00,-0.0E+00,-156.25000E-03
-4.09895000E+00,+0.0E+00,-156.25000E-03
-4.09890000E+00,-156.25000E-03,-0.0E+00
-4.09885000E+00,-156.25000E-03,+0.0E+00
-4.09880000E+00,-156.25000E-03,+0.0E+00
-4.09875000E+00,-156.25000E-03,-156.25000E-03
-4.09870000E+00,-156.25000E-03,-0.0E+00
-4.09865000E+00,-0.0E+00,-156.25000E-03
-4.09860000E+00,-156.25000E-03,-0.0E+00
-4.09855000E+00,-156.25000E-03,-156.25000E-03
-4.09850000E+00,-156.25000E-03,-0.0E+00
-4.09845000E+00,-0.0E+00,+0.0E+00
-4.09840000E+00,+0.0E+00,-156.25000E-03
-4.09835000E+00,+0.0E+00,-156.25000E-03
-4.09830000E+00,-156.25000E-03,-0.0E+00
-4.09825000E+00,-0.0E+00,-156.25000E-03
-4.09820000E+00,-156.25000E-03,-0.0E+00
-4.09815000E+00,-312.50000E-03,-156.25000E-03
-4.09810000E+00,-156.25000E-03,-0.0E+00
-4.09805000E+00,-156.25000E-03,+0.0E+00
-4.09800000E+00,-156.25000E-03,-156.25000E-03
-4.09795000E+00,-156.25000E-03,-156.25000E-03
-4.09790000E+00,-156.25000E-03,-0.0E+00
-4.09785000E+00,-156.25000E-03,-156.25000E-03
-4.09780000E+00,-0.0E+00,+156.25000E-03
-4.09775000E+00,-156.25000E-03,-156.25000E-03
-4.09770000E+00,-156.25000E-03,-0.0E+00
-4.09765000E+00,-156.25000E-03,-156.25000E-03
-4.09760000E+00,-156.25000E-03,-156.25000E-03
-4.09755000E+00,-156.25000E-03,-156.25000E-03
-4.09750000E+00,-0.0E+00,-0.0E+00
-4.09745000E+00,+0.0E+00,+0.0E+00
-4.09740000E+00,+0.0E+00,+0.0E+00
-4.09735000E+00,-156.25000E-03,+0.0E+00
-4.09730000E+00,-312.50000E-03,-156.25000E-03
-4.09725000E+00,-156.25000E-03,-156.25000E-03
-4.09720000E+00,-0.0E+00,-0.0E+00
-4.09715000E+00,+0.0E+00,-156.25000E-03
-4.09710000E+00,+0.0E+00,-0.0E+00
-4.09705000E+00,+0.0E+00,-156.25000E-03
-4.09700000E+00,-156.25000E-03,-0.0E+00
-4.09695000E+00,-156.25000E-03,+0.0E+00
-4.09690000E+00,-0.0E+00,+0.0E+00
-4.09685000E+00,+0.0E+00,+0.0E+00
-4.09680000E+00,-156.25000E-03,+0.0E+00
-4.09675000E+00,-156.25000E-03,-156.25000E-03
-4.09670000E+00,-0.0E+00,-156.25000E-03
-4.09665000E+00,-156.25000E-03,-0.0E+00
-4.09660000E+00,-156.25000E-03,+0.0E+00
-4.09655000E+00,-156.25000E-03,-156.25000E-03
-4.09650000E+00,-0.0E+00,-0.0E+00
-4.09645000E+00,-156.25000E-03,+0.0E+00
-4.09640000E+00,-0.0E+00,+0.0E+00
-4.09635000E+00,-156.25000E-03,+0.0E+00
-4.09630000E+00,-156.25000E-03,+0.0E+00
-4.09625000E+00,-156.25000E-03,+0.0E+00
-4.09620000E+00,-156.25000E-03,+0.0E+00
-4.09615000E+00,-156.25000E-03,-156.25000E-03
-4.09610000E+00,-0.0E+00,-0.0E+00
-4.09605000E+00,+0.0E+00,-156.25000E-03
-4.09600000E+00,-156.25000E-03,-0.0E+00
-4.09595000E+00,-0.0E+00,-156.25000E-03
-4.09590000E+00,+0.0E+00,-156.25000E-03
-4.09585000E+00,-156.25000E-03,-156.25000E-03
-4.09580000E+00,-0.0E+00,-0.0E+00
-4.09575000E+00,-156.25000E-03,+0.0E+00
-4.09570000E+00,-156.25000E-03,+0.0E+00
-4.09565000E+00,-312.50000E-03,+0.0E+00
-4.09560000E+00,-156.25000E-03,-156.25000E-03
-4.09555000E+00,-0.0E+00,-156.25000E-03
-4.09550000E+00,-156.25000E-03,-156.25000E-03
-4.09545000E+00,-156.25000E-03,-156.25000E-03
-4.09540000E+00,-0.0E+00,-0.0E+00
-4.09535000E+00,+0.0E+00,+0.0E+00
-4.09530000E+00,+0.0E+00,+0.0E+00
-4.09525000E+00,-312.50000E-03,-156.25000E-03
-4.09520000E+00,-0.0E+00,-0.0E+00
-4.09515000E+00,-156.25000E-03,-156.25000E-03
-4.09510000E+00,-0.0E+00,-0.0E+00
-4.09505000E+00,+0.0E+00,+0.0E+00
-4.09500000E+00,+0.0E+00,-156.25000E-03
-4.09495000E+00,+0.0E+00,-312.50000E-03
-4.09490000E+00,-156.25000E-03,-156.25000E-03
-4.09485000E+00,-0.0E+00,-0.0E+00
-4.09480000E+00,-156.25000E-03,-156.25000E-03
-4.09475000E+00,-0.0E+00,-156.25000E-03
-4.09470000E+00,+0.0E+00,-0.0E+00
-4.09465000E+00,-312.50000E-03,-156.25000E-03
-4.09460000E+00,-156.25000E-03,-0.0E+00
-4.09455000E+00,-156.25000E-03,-156.25000E-03
-4.09450000E+00,-156.25000E-03,-0.0E+00
-4.09445000E+00,-156.25000E-03,+0.0E+00
-4.09440000E+00,-0.0E+00,-312.50000E-03
-4.09435000E+00,-156.25000E-03,-0.0E+00
-4.09430000E+00,-156.25000E-03,-156.25000E-03
-4.09425000E+00,-0.0E+00,-156.25000E-03
-4.09420000E+00,-156.25000E-03,-156.25000E-03
-4.09415000E+00,-0.0E+00,-0.0E+00
-4.09410000E+00,-156.25000E-03,+0.0E+00
-4.09405000E+00,-156.25000E-03,-156.25000E-03
-4.09400000E+00,-156.25000E-03,-156.25000E-03
-4.09395000E+00,-156.25000E-03,-0.0E+00
-4.09390000E+00,-0.0E+00,+0.0E+00
-4.09385000E+00,+0.0E+00,+0.0E+00
-4.09380000E+00,+0.0E+00,+0.0E+00
-4.09375000E+00,-156.25000E-03,+156.25000E-03
-4.09370000E+00,-156.25000E-03,-156.25000E-03
-4.09365000E+00,-156.25000E-03,-0.0E+00
-4.09360000E+00,-156.25000E-03,-156.25000E-03
-4.09355000E+00,-0.0E+00,-156.25000E-03
-4.09350000E+00,+0.0E+00,-0.0E+00
-4.09345000E+00,+0.0E+00,-156.25000E-03
-4.09340000E+00,+0.0E+00,-156.25000E-03
-4.09335000E+00,-156.25000E-03,-0.0E+00
-4.09330000E+00,-0.0E+00,+0.0E+00
-4.09325000E+00,+0.0E+00,+0.0E+00
-4.09320000E+00,+0.0E+00,-156.25000E-03
-4.09315000E+00,-156.25000E-03,-312.50000E-03
-4.09310000E+00,-0.0E+00,-312.50000E-03
-4.09305000E+00,-156.25000E-03,-0.0E+00
-4.09300000E+00,+156.25000E-03,+0.0E+00
-4.09295000E+00,+0.0E+00,+0.0E+00
-4.09290000E+00,+0.0E+00,+0.0E+00
-4.09285000E+00,-156.25000E-03,-156.25000E-03
-4.09280000E+00,-0.0E+00,-156.25000E-03
-4.09275000E+00,-156.25000E-03,-0.0E+00
-4.09270000E+00,-0.0E+00,-156.25000E-03
-4.09265000E+00,-156.25000E-03,-156.25000E-03
-4.09260000E+00,-0.0E+00,-156.25000E-03
-4.09255000E+00,-156.25000E-03,-0.0E+00
-4.09250000E+00,-156.25000E-03,-156.25000E-03
-4.09245000E+00,-156.25000E-03,-156.25000E-03
-4.09240000E+00,-156.25000E-03,-156.25000E-03
-4.09235000E+00,-156.25000E-03,-0.0E+00
-4.09230000E+00,-156.25000E-03,-156.25000E-03
-4.09225000E+00,-156.25000E-03,-156.25000E-03
-4.09220000E+00,-156.25000E-03,-0.0E+00
-4.09215000E+00,-156.25000E-03,+0.0E+00
-4.09210000E+00,-156.25000E-03,-156.25000E-03
-4.09205000E+00,-0.0E+00,-156.25000E-03
-4.09200000E+00,+0.0E+00,-156.25000E-03
-4.09195000E+00,-312.50000E-03,-156.25000E-03
-4.09190000E+00,-156.25000E-03,-156.25000E-03
-4.09185000E+00,-156.25000E-03,-156.25000E-03
-4.09180000E+00,-0.0E+00,-156.25000E-03
-4.09175000E+00,-156.25000E-03,-156.25000E-03
-4.09170000E+00,-156.25000E-03,-0.0E+00
-4.09165000E+00,-0.0E+00,+0.0E+00
-4.09160000E+00,-312.50000E-03,+0.0E+00
-4.09155000E+00,-156.25000E-03,+0.0E+00
-4.09150000E+00,-156.25000E-03,-156.25000E-03
-4.09145000E+00,-156.25000E-03,-156.25000E-03
-4.09140000E+00,-0.0E+00,-0.0E+00
-4.09135000E+00,-156.25000E-03,+0.0E+00
-4.09130000E+00,-312.50000E-03,-156.25000E-03
-4.09125000E+00,-156.25000E-03,-156.25000E-03
-4.09120000E+00,-312.50000E-03,-0.0E+00
-4.09115000E+00,-312.50000E-03,-156.25000E-03
-4.09110000E+00,-156.25000E-03,-156.25000E-03
-4.09105000E+00,-156.25000E-03,-156.25000E-03
-4.09100000E+00,-0.0E+00,-0.0E+00
-4.09095000E+00,+0.0E+00,-156.25000E-03
-4.09090000E+00,+0.0E+00,-0.0E+00
-4.09085000E+00,-156.25000E-03,+0.0E+00
-4.09080000E+00,-0.0E+00,+0.0E+00
-4.09075000E+00,-156.25000E-03,-156.25000E-03
-4.09070000E+00,-0.0E+00,-0.0E+00
-4.09065000E+00,+0.0E+00,+0.0E+00
-4.09060000E+00,-156.25000E-03,+0.0E+00
-4.09055000E+00,-312.50000E-03,-156.25000E-03
-4.09050000E+00,-156.25000E-03,-0.0E+00
-4.09045000E+00,-156.25000E-03,+0.0E+00
-4.09040000E+00,-156.25000E-03,-156.25000E-03
-4.09035000E+00,-0.0E+00,-0.0E+00
-4.09030000E+00,-156.25000E-03,-156.25000E-03
-4.09025000E+00,-156.25000E-03,-0.0E+00
-4.09020000E+00,-156.25000E-03,+0.0E+00
-4.09015000E+00,-0.0E+00,-156.25000E-03
-4.09010000E+00,-156.25000E-03,-156.25000E-03
-4.09005000E+00,-156.25000E-03,-0.0E+00
-4.09000000E+00,-156.25000E-03,+0.0E+00
-4.08995000E+00,-156.25000E-03,-156.25000E-03
-4.08990000E+00,-156.25000E-03,-0.0E+00
-4.08985000E+00,-156.25000E-03,-156.25000E-03
-4.08980000E+00,-156.25000E-03,-156.25000E-03
-4.08975000E+00,-156.25000E-03,-156.25000E-03
-4.08970000E+00,-0.0E+00,-0.0E+00
-4.08965000E+00,+0.0E+00,-156.25000E-03
-4.08960000E+00,-156.25000E-03,-156.25000E-03
-4.08955000E+00,-156.25000E-03,-156.25000E-03
-4.08950000E+00,-0.0E+00,-156.25000E-03
-4.08945000E+00,+0.0E+00,-156.25000E-03
-4.08940000E+00,-156.25000E-03,-0.0E+00
-4.08935000E+00,-312.50000E-03,-156.25000E-03
-4.08930000E+00,-156.25000E-03,-156.25000E-03
-4.08925000E+00,-156.25000E-03,-0.0E+00
-4.08920000E+00,-156.25000E-03,+0.0E+00
-4.08915000E+00,-156.25000E-03,-156.25000E-03
-4.08910000E+00,-0.0E+00,-156.25000E-03
-4.08905000E+00,-156.25000E-03,-0.0E+00
-4.08900000E+00,-156.25000E-03,+0.0E+00
-4.08895000E+00,-156.25000E-03,+0.0E+00
-4.08890000E+00,-0.0E+00,+0.0E+00
-4.08885000E+00,+0.0E+00,+0.0E+00
-4.08880000E+00,-156.25000E-03,+0.0E+00
-4.08875000E+00,-312.50000E-03,-156.25000E-03
-4.08870000E+00,-156.25000E-03,-0.0E+00
-4.08865000E+00,-0.0E+00,+0.0E+00
-4.08860000E+00,+0.0E+00,+0.0E+00
-4.08855000E+00,-156.25000E-03,-156.25000E-03
-4.08850000E+00,-156.25000E-03,-156.25000E-03
-4.08845000E+00,-156.25000E-03,-0.0E+00
-4.08840000E+00,-156.25000E-03,-156.25000E-03
-4.08835000E+00,-312.50000E-03,-156.25000E-03
-4.08830000E+00,-156.25000E-03,-0.0E+00
-4.08825000E+00,-156.25000E-03,+0.0E+00
-4.08820000E+00,-156.25000E-03,+0.0E+00
-4.08815000E+00,-156.25000E-03,+0.0E+00
-4.08810000E+00,-0.0E+00,+0.0E+00
-4.08805000E+00,+0.0E+00,-156.25000E-03
-4.08800000E+00,-156.25000E-03,-156.25000E-03
-4.08795000E+00,-156.25000E-03,-156.25000E-03
-4.08790000E+00,-156.25000E-03,-0.0E+00
-4.08785000E+00,-156.25000E-03,-156.25000E-03
-4.08780000E+00,-156.25000E-03,-0.0E+00
-4.08775000E+00,-156.25000E-03,-156.25000E-03
-4.08770000E+00,-156.25000E-03,-312.50000E-03
-4.08765000E+00,-312.50000E-03,-156.25000E-03
-4.08760000E+00,-156.25000E-03,-0.0E+00
-4.08755000E+00,-0.0E+00,+0.0E+00
-4.08750000E+00,-156.25000E-03,+0.0E+00
-4.08745000E+00,-312.50000E-03,-156.25000E-03
-4.08740000E+00,-0.0E+00,-0.0E+00
-4.08735000E+00,+0.0E+00,-156.25000E-03
-4.08730000E+00,-156.25000E-03,-0.0E+00
-4.08725000E+00,-156.25000E-03,+0.0E+00
-4.08720000E+00,-156.25000E-03,+0.0E+00
-4.08715000E+00,-156.25000E-03,+0.0E+00
-4.08710000E+00,-156.25000E-03,+0.0E+00
-4.08705000E+00,-312.50000E-03,+0.0E+00
-4.08700000E+00,-312.50000E-03,+0.0E+00
-4.08695000E+00,-156.25000E-03,-156.25000E-03
-4.08690000E+00,-156.25000E-03,-0.0E+00
-4.08685000E+00,-0.0E+00,+0.0E+00
-4.08680000E+00,-156.25000E-03,+0.0E+00
-4.08675000E+00,-156.25000E-03,-156.25000E-03
-4.08670000E+00,-156.25000E-03,-0.0E+00
-4.08665000E+00,-156.25000E-03,+0.0E+00
-4.08660000E+00,-312.50000E-03,+0.0E+00
