x-axis,VREF,VOUT_FILT
second,Volt,Volt
-48.0000E-03,-406.2500E-03,-125.0000E-03
-47.5000E-03,-406.2500E-03,-125.0000E-03
-47.0000E-03,-406.2500E-03,-281.2500E-03
-46.5000E-03,-406.2500E-03,-281.2500E-03
-46.0000E-03,-406.2500E-03,-281.2500E-03
-45.5000E-03,-406.2500E-03,-125.0000E-03
-45.0000E-03,-406.2500E-03,-281.2500E-03
-44.5000E-03,-406.2500E-03,-125.0000E-03
-44.0000E-03,-93.7500E-03,-281.2500E-03
-43.5000E-03,-406.2500E-03,-125.0000E-03
-43.0000E-03,-406.2500E-03,-281.2500E-03
-42.5000E-03,-406.2500E-03,-281.2500E-03
-42.0000E-03,-250.0000E-03,-281.2500E-03
-41.5000E-03,-406.2500E-03,-281.2500E-03
-41.0000E-03,-562.5000E-03,-281.2500E-03
-40.5000E-03,-562.5000E-03,-125.0000E-03
-40.0000E-03,-406.2500E-03,-281.2500E-03
-39.5000E-03,-406.2500E-03,-125.0000E-03
-39.0000E-03,-406.2500E-03,-281.2500E-03
-38.5000E-03,-406.2500E-03,+31.2500E-03
-38.0000E-03,-562.5000E-03,-125.0000E-03
-37.5000E-03,-250.0000E-03,-125.0000E-03
-37.0000E-03,-250.0000E-03,-281.2500E-03
-36.5000E-03,-250.0000E-03,-125.0000E-03
-36.0000E-03,-406.2500E-03,-125.0000E-03
-35.5000E-03,-406.2500E-03,-281.2500E-03
-35.0000E-03,-562.5000E-03,-281.2500E-03
-34.5000E-03,-406.2500E-03,-125.0000E-03
-34.0000E-03,-406.2500E-03,-281.2500E-03
-33.5000E-03,-406.2500E-03,-437.5000E-03
-33.0000E-03,-562.5000E-03,-125.0000E-03
-32.5000E-03,-406.2500E-03,-125.0000E-03
-32.0000E-03,-250.0000E-03,-125.0000E-03
-31.5000E-03,-562.5000E-03,-125.0000E-03
-31.0000E-03,-406.2500E-03,-281.2500E-03
-30.5000E-03,-406.2500E-03,-281.2500E-03
-30.0000E-03,-406.2500E-03,-281.2500E-03
-29.5000E-03,-406.2500E-03,-125.0000E-03
-29.0000E-03,-250.0000E-03,-281.2500E-03
