x-axis,VREF,VDD1V2
second,Volt,Volt
-2.31425000E+00,+0.0E+00,-156.25000E-03
-2.31420000E+00,+156.25000E-03,-0.0E+00
-2.31415000E+00,+156.25000E-03,-156.25000E-03
-2.31410000E+00,+0.0E+00,-156.25000E-03
-2.31405000E+00,+156.25000E-03,-0.0E+00
-2.31400000E+00,+156.25000E-03,-156.25000E-03
-2.31395000E+00,+0.0E+00,-156.25000E-03
-2.31390000E+00,+0.0E+00,-156.25000E-03
-2.31385000E+00,+156.25000E-03,-0.0E+00
-2.31380000E+00,+156.25000E-03,+0.0E+00
-2.31375000E+00,+0.0E+00,+0.0E+00
-2.31370000E+00,+156.25000E-03,-156.25000E-03
-2.31365000E+00,+156.25000E-03,-0.0E+00
-2.31360000E+00,+156.25000E-03,+0.0E+00
-2.31355000E+00,+0.0E+00,+0.0E+00
-2.31350000E+00,-156.25000E-03,-156.25000E-03
-2.31345000E+00,+156.25000E-03,-0.0E+00
-2.31340000E+00,+0.0E+00,+0.0E+00
-2.31335000E+00,+0.0E+00,-156.25000E-03
-2.31330000E+00,+156.25000E-03,-0.0E+00
-2.31325000E+00,+0.0E+00,+0.0E+00
-2.31320000E+00,-156.25000E-03,+0.0E+00
-2.31315000E+00,-0.0E+00,+0.0E+00
-2.31310000E+00,+0.0E+00,-156.25000E-03
-2.31305000E+00,+0.0E+00,-156.25000E-03
-2.31300000E+00,+0.0E+00,-312.50000E-03
-2.31295000E+00,-312.50000E-03,-156.25000E-03
-2.31290000E+00,-0.0E+00,-0.0E+00
-2.31285000E+00,+0.0E+00,-156.25000E-03
-2.31280000E+00,+0.0E+00,-156.25000E-03
-2.31275000E+00,+0.0E+00,-0.0E+00
-2.31270000E+00,+0.0E+00,-156.25000E-03
-2.31265000E+00,+0.0E+00,-156.25000E-03
-2.31260000E+00,+0.0E+00,-156.25000E-03
-2.31255000E+00,+0.0E+00,-156.25000E-03
-2.31250000E+00,+0.0E+00,-156.25000E-03
-2.31245000E+00,+0.0E+00,-156.25000E-03
-2.31240000E+00,+0.0E+00,-0.0E+00
-2.31235000E+00,+156.25000E-03,-156.25000E-03
-2.31230000E+00,+0.0E+00,-0.0E+00
-2.31225000E+00,-156.25000E-03,-156.25000E-03
-2.31220000E+00,-0.0E+00,-156.25000E-03
-2.31215000E+00,+156.25000E-03,-156.25000E-03
-2.31210000E+00,+0.0E+00,-156.25000E-03
-2.31205000E+00,+0.0E+00,-0.0E+00
-2.31200000E+00,-156.25000E-03,-156.25000E-03
-2.31195000E+00,-0.0E+00,-0.0E+00
-2.31190000E+00,+0.0E+00,-156.25000E-03
-2.31185000E+00,+0.0E+00,-156.25000E-03
-2.31180000E+00,+0.0E+00,-156.25000E-03
-2.31175000E+00,+0.0E+00,-0.0E+00
-2.31170000E+00,+0.0E+00,-156.25000E-03
-2.31165000E+00,+0.0E+00,-156.25000E-03
-2.31160000E+00,-156.25000E-03,-156.25000E-03
-2.31155000E+00,+156.25000E-03,-156.25000E-03
-2.31150000E+00,+0.0E+00,-156.25000E-03
-2.31145000E+00,+0.0E+00,-156.25000E-03
-2.31140000E+00,+0.0E+00,-156.25000E-03
-2.31135000E+00,-156.25000E-03,-0.0E+00
-2.31130000E+00,-0.0E+00,+0.0E+00
-2.31125000E+00,-156.25000E-03,-156.25000E-03
-2.31120000E+00,-0.0E+00,-156.25000E-03
-2.31115000E+00,+156.25000E-03,-0.0E+00
-2.31110000E+00,+0.0E+00,+0.0E+00
-2.31105000E+00,+0.0E+00,-156.25000E-03
-2.31100000E+00,+0.0E+00,-156.25000E-03
-2.31095000E+00,+0.0E+00,-156.25000E-03
-2.31090000E+00,+0.0E+00,-0.0E+00
-2.31085000E+00,-156.25000E-03,-156.25000E-03
-2.31080000E+00,-0.0E+00,-156.25000E-03
