x-axis,V_INC,V_OUT
second,Volt,Volt
-4.73362000E+00,-390.62500E-03,+187.50000E-03
-4.73358000E+00,-234.37500E-03,+62.50000E-03
-4.73354000E+00,-234.37500E-03,+31.25000E-03
-4.73350000E+00,-312.50000E-03,+62.50000E-03
-4.73346000E+00,-234.37500E-03,+62.50000E-03
-4.73342000E+00,-234.37500E-03,+62.50000E-03
-4.73338000E+00,-234.37500E-03,+62.50000E-03
-4.73334000E+00,-234.37500E-03,+31.25000E-03
-4.73330000E+00,-234.37500E-03,+31.25000E-03
-4.73326000E+00,-234.37500E-03,+31.25000E-03
-4.73322000E+00,-234.37500E-03,+31.25000E-03
-4.73318000E+00,-234.37500E-03,+31.25000E-03
-4.73314000E+00,-234.37500E-03,+31.25000E-03
-4.73310000E+00,-156.25000E-03,+62.50000E-03
-4.73306000E+00,-234.37500E-03,+31.25000E-03
-4.73302000E+00,-234.37500E-03,+0.0E+00
-4.73298000E+00,-156.25000E-03,+0.0E+00
-4.73294000E+00,-78.12500E-03,+62.50000E-03
-4.73290000E+00,-156.25000E-03,+93.75000E-03
-4.73286000E+00,-312.50000E-03,+62.50000E-03
-4.73282000E+00,-234.37500E-03,+62.50000E-03
-4.73278000E+00,-234.37500E-03,+93.75000E-03
-4.73274000E+00,-234.37500E-03,+93.75000E-03
-4.73270000E+00,-156.25000E-03,+62.50000E-03
-4.73266000E+00,-234.37500E-03,+93.75000E-03
-4.73262000E+00,-234.37500E-03,+125.00000E-03
-4.73258000E+00,-234.37500E-03,+125.00000E-03
-4.73254000E+00,-234.37500E-03,+62.50000E-03
-4.73250000E+00,-156.25000E-03,+62.50000E-03
-4.73246000E+00,-156.25000E-03,+93.75000E-03
-4.73242000E+00,-156.25000E-03,+93.75000E-03
-4.73238000E+00,-156.25000E-03,+93.75000E-03
-4.73234000E+00,-156.25000E-03,+62.50000E-03
-4.73230000E+00,-156.25000E-03,+62.50000E-03
-4.73226000E+00,-234.37500E-03,+62.50000E-03
-4.73222000E+00,-234.37500E-03,+31.25000E-03
-4.73218000E+00,-234.37500E-03,+62.50000E-03
-4.73214000E+00,-234.37500E-03,+93.75000E-03
-4.73210000E+00,-234.37500E-03,+93.75000E-03
-4.73206000E+00,-312.50000E-03,+93.75000E-03
-4.73202000E+00,-234.37500E-03,+62.50000E-03
-4.73198000E+00,-156.25000E-03,+62.50000E-03
-4.73194000E+00,-234.37500E-03,+62.50000E-03
-4.73190000E+00,-234.37500E-03,+62.50000E-03
-4.73186000E+00,-234.37500E-03,+62.50000E-03
-4.73182000E+00,-234.37500E-03,+93.75000E-03
-4.73178000E+00,-156.25000E-03,+93.75000E-03
-4.73174000E+00,-156.25000E-03,+93.75000E-03
-4.73170000E+00,-234.37500E-03,+93.75000E-03
-4.73166000E+00,-234.37500E-03,+93.75000E-03
-4.73162000E+00,-156.25000E-03,+125.00000E-03
-4.73158000E+00,-234.37500E-03,+93.75000E-03
-4.73154000E+00,-234.37500E-03,+62.50000E-03
-4.73150000E+00,-234.37500E-03,+62.50000E-03
-4.73146000E+00,-234.37500E-03,+93.75000E-03
-4.73142000E+00,-234.37500E-03,+125.00000E-03
-4.73138000E+00,-156.25000E-03,+93.75000E-03
-4.73134000E+00,-156.25000E-03,+62.50000E-03
-4.73130000E+00,-312.50000E-03,+31.25000E-03
-4.73126000E+00,-234.37500E-03,+31.25000E-03
-4.73122000E+00,-234.37500E-03,+62.50000E-03
-4.73118000E+00,-312.50000E-03,+62.50000E-03
-4.73114000E+00,-234.37500E-03,+62.50000E-03
-4.73110000E+00,-156.25000E-03,+62.50000E-03
-4.73106000E+00,-234.37500E-03,+31.25000E-03
-4.73102000E+00,-234.37500E-03,+31.25000E-03
-4.73098000E+00,-78.12500E-03,+93.75000E-03
-4.73094000E+00,-78.12500E-03,+93.75000E-03
-4.73090000E+00,-78.12500E-03,+62.50000E-03
-4.73086000E+00,-78.12500E-03,+62.50000E-03
-4.73082000E+00,-156.25000E-03,+62.50000E-03
-4.73078000E+00,-156.25000E-03,+62.50000E-03
-4.73074000E+00,-156.25000E-03,+62.50000E-03
-4.73070000E+00,-234.37500E-03,+62.50000E-03
-4.73066000E+00,-234.37500E-03,+62.50000E-03
-4.73062000E+00,-234.37500E-03,+31.25000E-03
-4.73058000E+00,-312.50000E-03,+62.50000E-03
-4.73054000E+00,-234.37500E-03,+93.75000E-03
-4.73050000E+00,-234.37500E-03,+62.50000E-03
-4.73046000E+00,-312.50000E-03,+62.50000E-03
-4.73042000E+00,-234.37500E-03,+31.25000E-03
-4.73038000E+00,-156.25000E-03,+62.50000E-03
-4.73034000E+00,-156.25000E-03,+125.00000E-03
-4.73030000E+00,-156.25000E-03,+93.75000E-03
-4.73026000E+00,-156.25000E-03,+62.50000E-03
-4.73022000E+00,-156.25000E-03,+93.75000E-03
-4.73018000E+00,-156.25000E-03,+125.00000E-03
-4.73014000E+00,-234.37500E-03,+62.50000E-03
-4.73010000E+00,-234.37500E-03,+62.50000E-03
-4.73006000E+00,-156.25000E-03,+93.75000E-03
