x-axis,V_INC,V_OUT
second,Volt,Volt
-2.24036000E+00,-250.00000E-03,+61.24988E-03
-2.24032000E+00,-250.00000E-03,+122.49988E-03
-2.24028000E+00,-125.00000E-03,+122.49988E-03
-2.24024000E+00,-125.00000E-03,+61.24988E-03
-2.24020000E+00,-0.0E+00,+61.24988E-03
-2.24016000E+00,+125.00000E-03,+122.49988E-03
-2.24012000E+00,-125.00000E-03,-120E-09
-2.24008000E+00,-250.00000E-03,+61.24988E-03
-2.24004000E+00,-0.0E+00,+61.24988E-03
-2.24000000E+00,-125.00000E-03,-120E-09
-2.23996000E+00,-125.00000E-03,+61.24988E-03
-2.23992000E+00,-125.00000E-03,-120E-09
-2.23988000E+00,-0.0E+00,+61.24988E-03
-2.23984000E+00,-125.00000E-03,+61.24988E-03
-2.23980000E+00,-125.00000E-03,+61.24988E-03
-2.23976000E+00,-125.00000E-03,+61.24988E-03
-2.23972000E+00,-125.00000E-03,-120E-09
-2.23968000E+00,-125.00000E-03,+61.24988E-03
-2.23964000E+00,-125.00000E-03,+61.24988E-03
-2.23960000E+00,-125.00000E-03,-120E-09
-2.23956000E+00,-0.0E+00,+61.24988E-03
-2.23952000E+00,-250.00000E-03,+61.24988E-03
-2.23948000E+00,-125.00000E-03,-120E-09
-2.23944000E+00,-125.00000E-03,+61.24988E-03
-2.23940000E+00,-0.0E+00,-120E-09
-2.23936000E+00,-125.00000E-03,-120E-09
-2.23932000E+00,-125.00000E-03,+61.24988E-03
-2.23928000E+00,-125.00000E-03,+61.24988E-03
-2.23924000E+00,-125.00000E-03,+61.24988E-03
-2.23920000E+00,-125.00000E-03,+61.24988E-03
-2.23916000E+00,-0.0E+00,+61.24988E-03
-2.23912000E+00,-125.00000E-03,+122.49988E-03
-2.23908000E+00,-125.00000E-03,-120E-09
-2.23904000E+00,-250.00000E-03,+61.24988E-03
-2.23900000E+00,-125.00000E-03,-120E-09
-2.23896000E+00,-0.0E+00,+61.24988E-03
-2.23892000E+00,-125.00000E-03,-120E-09
-2.23888000E+00,-0.0E+00,+61.24988E-03
-2.23884000E+00,+0.0E+00,+61.24988E-03
-2.23880000E+00,-125.00000E-03,+61.24988E-03
-2.23876000E+00,-250.00000E-03,+61.24988E-03
-2.23872000E+00,-125.00000E-03,+61.24988E-03
-2.23868000E+00,-0.0E+00,+61.24988E-03
-2.23864000E+00,-125.00000E-03,+61.24988E-03
-2.23860000E+00,-0.0E+00,-120E-09
-2.23856000E+00,-125.00000E-03,+61.24988E-03
-2.23852000E+00,-250.00000E-03,+61.24988E-03
-2.23848000E+00,-125.00000E-03,-120E-09
-2.23844000E+00,-250.00000E-03,+122.49988E-03
-2.23840000E+00,-125.00000E-03,+61.24988E-03
-2.23836000E+00,-0.0E+00,+122.49988E-03
-2.23832000E+00,-125.00000E-03,-120E-09
-2.23828000E+00,-125.00000E-03,+61.24988E-03
-2.23824000E+00,-125.00000E-03,+122.49988E-03
-2.23820000E+00,-125.00000E-03,+61.24988E-03
-2.23816000E+00,-375.00000E-03,+122.49988E-03
-2.23812000E+00,-125.00000E-03,-120E-09
-2.23808000E+00,-125.00000E-03,-120E-09
-2.23804000E+00,-125.00000E-03,+61.24988E-03
-2.23800000E+00,-125.00000E-03,-120E-09
-2.23796000E+00,-125.00000E-03,-120E-09
-2.23792000E+00,-125.00000E-03,+61.24988E-03
-2.23788000E+00,-125.00000E-03,+61.24988E-03
-2.23784000E+00,-0.0E+00,+61.24988E-03
-2.23780000E+00,-125.00000E-03,+61.24988E-03
-2.23776000E+00,-125.00000E-03,+122.49988E-03
-2.23772000E+00,-0.0E+00,-120E-09
-2.23768000E+00,-125.00000E-03,+61.24988E-03
-2.23764000E+00,-250.00000E-03,+61.24988E-03
-2.23760000E+00,-125.00000E-03,+61.24988E-03
