x-axis,V_INS,V_INC,V_OUT
second,Volt,Volt,Volt
-3.39768000E+00,-0.0E+00,-156.25000E-03,+125.00000E-03
-3.39765000E+00,-156.25000E-03,-156.25000E-03,+0.0E+00
-3.39762000E+00,-156.25000E-03,-156.25000E-03,+0.0E+00
-3.39759000E+00,+0.0E+00,-156.25000E-03,+125.00000E-03
-3.39756000E+00,-0.0E+00,-156.25000E-03,+62.50000E-03
-3.39753000E+00,-156.25000E-03,+0.0E+00,+187.50000E-03
-3.39750000E+00,-312.50000E-03,-0.0E+00,+125.00000E-03
-3.39747000E+00,-156.25000E-03,-156.25000E-03,+62.50000E-03
-3.39744000E+00,-156.25000E-03,-156.25000E-03,+62.50000E-03
-3.39741000E+00,-156.25000E-03,-156.25000E-03,+125.00000E-03
-3.39738000E+00,-312.50000E-03,-0.0E+00,+62.50000E-03
-3.39735000E+00,-0.0E+00,-156.25000E-03,+125.00000E-03
-3.39732000E+00,-156.25000E-03,-0.0E+00,+62.50000E-03
-3.39729000E+00,-0.0E+00,-156.25000E-03,+62.50000E-03
-3.39726000E+00,-156.25000E-03,-0.0E+00,+0.0E+00
-3.39723000E+00,-156.25000E-03,-156.25000E-03,+125.00000E-03
-3.39720000E+00,-156.25000E-03,-156.25000E-03,+62.50000E-03
-3.39717000E+00,-156.25000E-03,-156.25000E-03,+62.50000E-03
-3.39714000E+00,-156.25000E-03,-156.25000E-03,+0.0E+00
-3.39711000E+00,-0.0E+00,-0.0E+00,+62.50000E-03
-3.39708000E+00,-156.25000E-03,-156.25000E-03,+125.00000E-03
-3.39705000E+00,-0.0E+00,-156.25000E-03,+125.00000E-03
-3.39702000E+00,-156.25000E-03,-156.25000E-03,+62.50000E-03
-3.39699000E+00,-156.25000E-03,-156.25000E-03,+62.50000E-03
-3.39696000E+00,-156.25000E-03,-312.50000E-03,+125.00000E-03
-3.39693000E+00,-156.25000E-03,-156.25000E-03,+62.50000E-03
-3.39690000E+00,-0.0E+00,-156.25000E-03,+125.00000E-03
-3.39687000E+00,-156.25000E-03,-0.0E+00,+62.50000E-03
-3.39684000E+00,-156.25000E-03,-312.50000E-03,+125.00000E-03
-3.39681000E+00,-156.25000E-03,-156.25000E-03,+62.50000E-03
-3.39678000E+00,-156.25000E-03,-312.50000E-03,+125.00000E-03
-3.39675000E+00,-156.25000E-03,-156.25000E-03,+62.50000E-03
-3.39672000E+00,-156.25000E-03,-312.50000E-03,+62.50000E-03
-3.39669000E+00,-312.50000E-03,-0.0E+00,+62.50000E-03
-3.39666000E+00,-156.25000E-03,-156.25000E-03,+62.50000E-03
-3.39663000E+00,-156.25000E-03,-156.25000E-03,+62.50000E-03
-3.39660000E+00,-0.0E+00,-0.0E+00,+62.50000E-03
-3.39657000E+00,-156.25000E-03,-156.25000E-03,+0.0E+00
-3.39654000E+00,-156.25000E-03,+0.0E+00,+62.50000E-03
-3.39651000E+00,-156.25000E-03,+0.0E+00,+62.50000E-03
-3.39648000E+00,-156.25000E-03,-0.0E+00,+125.00000E-03
-3.39645000E+00,+0.0E+00,-156.25000E-03,+125.00000E-03
-3.39642000E+00,-0.0E+00,-156.25000E-03,+62.50000E-03
-3.39639000E+00,-156.25000E-03,-156.25000E-03,+62.50000E-03
-3.39636000E+00,-156.25000E-03,-156.25000E-03,+125.00000E-03
-3.39633000E+00,+0.0E+00,-312.50000E-03,+62.50000E-03
-3.39630000E+00,-0.0E+00,-156.25000E-03,+62.50000E-03
-3.39627000E+00,-156.25000E-03,-156.25000E-03,+125.00000E-03
-3.39624000E+00,-312.50000E-03,-156.25000E-03,+62.50000E-03
-3.39621000E+00,-156.25000E-03,-156.25000E-03,+125.00000E-03
-3.39618000E+00,-156.25000E-03,-156.25000E-03,+62.50000E-03
-3.39615000E+00,-156.25000E-03,-0.0E+00,+62.50000E-03
-3.39612000E+00,-0.0E+00,-156.25000E-03,+125.00000E-03
-3.39609000E+00,-156.25000E-03,-156.25000E-03,+62.50000E-03
-3.39606000E+00,-156.25000E-03,-312.50000E-03,+125.00000E-03
-3.39603000E+00,-156.25000E-03,-156.25000E-03,+62.50000E-03
-3.39600000E+00,-156.25000E-03,-156.25000E-03,+62.50000E-03
-3.39597000E+00,-0.0E+00,+0.0E+00,+125.00000E-03
-3.39594000E+00,-156.25000E-03,-0.0E+00,+125.00000E-03
-3.39591000E+00,-0.0E+00,-156.25000E-03,+62.50000E-03
-3.39588000E+00,-312.50000E-03,+0.0E+00,+62.50000E-03
-3.39585000E+00,+0.0E+00,-0.0E+00,+62.50000E-03
-3.39582000E+00,-0.0E+00,-156.25000E-03,+62.50000E-03
-3.39579000E+00,-156.25000E-03,-156.25000E-03,+62.50000E-03
-3.39576000E+00,-0.0E+00,-156.25000E-03,+125.00000E-03
-3.39573000E+00,-312.50000E-03,-0.0E+00,+125.00000E-03
-3.39570000E+00,-156.25000E-03,-156.25000E-03,+62.50000E-03
-3.39567000E+00,-312.50000E-03,-156.25000E-03,+125.00000E-03
-3.39564000E+00,-156.25000E-03,-312.50000E-03,+125.00000E-03
-3.39561000E+00,-156.25000E-03,-156.25000E-03,+62.50000E-03
-3.39558000E+00,-0.0E+00,-156.25000E-03,+125.00000E-03
-3.39555000E+00,-156.25000E-03,-0.0E+00,+125.00000E-03
-3.39552000E+00,-156.25000E-03,-156.25000E-03,+62.50000E-03
-3.39549000E+00,-0.0E+00,-0.0E+00,+125.00000E-03
-3.39546000E+00,-156.25000E-03,-156.25000E-03,+62.50000E-03
-3.39543000E+00,-156.25000E-03,-156.25000E-03,+125.00000E-03
-3.39540000E+00,-156.25000E-03,-156.25000E-03,+0.0E+00
-3.39537000E+00,-156.25000E-03,-156.25000E-03,+125.00000E-03
