x-axis,V_INC,V_OUT
second,Volt,Volt
-4.17504000E+00,-250.00000E-03,+125.00000E-03
-4.17500000E+00,-125.00000E-03,+62.50000E-03
-4.17496000E+00,-0.0E+00,+62.50000E-03
-4.17492000E+00,-125.00000E-03,+125.00000E-03
-4.17488000E+00,+0.0E+00,+125.00000E-03
-4.17484000E+00,+0.0E+00,+62.50000E-03
-4.17480000E+00,-0.0E+00,+62.50000E-03
-4.17476000E+00,-125.00000E-03,+62.50000E-03
-4.17472000E+00,-125.00000E-03,+62.50000E-03
-4.17468000E+00,-375.00000E-03,+62.50000E-03
-4.17464000E+00,-125.00000E-03,+125.00000E-03
-4.17460000E+00,-250.00000E-03,+62.50000E-03
-4.17456000E+00,-250.00000E-03,+62.50000E-03
-4.17452000E+00,-250.00000E-03,+125.00000E-03
-4.17448000E+00,-250.00000E-03,+62.50000E-03
-4.17444000E+00,-250.00000E-03,+125.00000E-03
-4.17440000E+00,-250.00000E-03,+62.50000E-03
-4.17436000E+00,-125.00000E-03,+0.0E+00
-4.17432000E+00,-250.00000E-03,+0.0E+00
-4.17428000E+00,-125.00000E-03,+62.50000E-03
-4.17424000E+00,-125.00000E-03,+62.50000E-03
-4.17420000E+00,-125.00000E-03,+62.50000E-03
-4.17416000E+00,-125.00000E-03,+62.50000E-03
-4.17412000E+00,-250.00000E-03,+0.0E+00
-4.17408000E+00,-250.00000E-03,+125.00000E-03
-4.17404000E+00,-125.00000E-03,+62.50000E-03
-4.17400000E+00,-125.00000E-03,+62.50000E-03
-4.17396000E+00,-250.00000E-03,+62.50000E-03
-4.17392000E+00,-125.00000E-03,+125.00000E-03
-4.17388000E+00,-125.00000E-03,+0.0E+00
-4.17384000E+00,-125.00000E-03,+62.50000E-03
-4.17380000E+00,-250.00000E-03,+62.50000E-03
-4.17376000E+00,-125.00000E-03,+125.00000E-03
-4.17372000E+00,-125.00000E-03,+62.50000E-03
-4.17368000E+00,-125.00000E-03,+62.50000E-03
-4.17364000E+00,-125.00000E-03,+0.0E+00
-4.17360000E+00,-0.0E+00,+62.50000E-03
-4.17356000E+00,-125.00000E-03,+62.50000E-03
-4.17352000E+00,-125.00000E-03,+62.50000E-03
-4.17348000E+00,-125.00000E-03,+125.00000E-03
-4.17344000E+00,-125.00000E-03,+62.50000E-03
-4.17340000E+00,-125.00000E-03,+125.00000E-03
-4.17336000E+00,-125.00000E-03,+62.50000E-03
-4.17332000E+00,-125.00000E-03,+0.0E+00
-4.17328000E+00,-125.00000E-03,+62.50000E-03
-4.17324000E+00,-125.00000E-03,+62.50000E-03
-4.17320000E+00,-125.00000E-03,+62.50000E-03
-4.17316000E+00,-125.00000E-03,+62.50000E-03
-4.17312000E+00,-0.0E+00,+62.50000E-03
-4.17308000E+00,-125.00000E-03,+62.50000E-03
-4.17304000E+00,-125.00000E-03,+62.50000E-03
-4.17300000E+00,-125.00000E-03,+62.50000E-03
-4.17296000E+00,-125.00000E-03,+62.50000E-03
-4.17292000E+00,-125.00000E-03,+62.50000E-03
-4.17288000E+00,-0.0E+00,+62.50000E-03
-4.17284000E+00,-125.00000E-03,+125.00000E-03
-4.17280000E+00,-250.00000E-03,+62.50000E-03
-4.17276000E+00,-125.00000E-03,+125.00000E-03
-4.17272000E+00,-125.00000E-03,+62.50000E-03
-4.17268000E+00,-0.0E+00,+62.50000E-03
-4.17264000E+00,-125.00000E-03,+62.50000E-03
-4.17260000E+00,-125.00000E-03,+62.50000E-03
-4.17256000E+00,-125.00000E-03,+125.00000E-03
-4.17252000E+00,-125.00000E-03,+62.50000E-03
-4.17248000E+00,-125.00000E-03,+62.50000E-03
-4.17244000E+00,-125.00000E-03,+62.50000E-03
-4.17240000E+00,-125.00000E-03,+125.00000E-03
-4.17236000E+00,-0.0E+00,+62.50000E-03
-4.17232000E+00,-125.00000E-03,+62.50000E-03
-4.17228000E+00,-250.00000E-03,+0.0E+00
-4.17224000E+00,-250.00000E-03,+62.50000E-03
-4.17220000E+00,-125.00000E-03,+125.00000E-03
-4.17216000E+00,-0.0E+00,+62.50000E-03
-4.17212000E+00,-250.00000E-03,+125.00000E-03
-4.17208000E+00,-125.00000E-03,+125.00000E-03
-4.17204000E+00,-250.00000E-03,+125.00000E-03
-4.17200000E+00,-125.00000E-03,+62.50000E-03
-4.17196000E+00,-125.00000E-03,+0.0E+00
-4.17192000E+00,-125.00000E-03,+62.50000E-03
-4.17188000E+00,-250.00000E-03,+125.00000E-03
-4.17184000E+00,-125.00000E-03,+125.00000E-03
-4.17180000E+00,-250.00000E-03,+62.50000E-03
-4.17176000E+00,-250.00000E-03,+62.50000E-03
-4.17172000E+00,-125.00000E-03,+62.50000E-03
-4.17168000E+00,-125.00000E-03,+62.50000E-03
-4.17164000E+00,-125.00000E-03,+125.00000E-03
-4.17160000E+00,-250.00000E-03,+125.00000E-03
-4.17156000E+00,-125.00000E-03,+62.50000E-03
-4.17152000E+00,-125.00000E-03,+62.50000E-03
-4.17148000E+00,-0.0E+00,+62.50000E-03
-4.17144000E+00,-125.00000E-03,+62.50000E-03
-4.17140000E+00,-125.00000E-03,+62.50000E-03
-4.17136000E+00,-250.00000E-03,+62.50000E-03
-4.17132000E+00,-125.00000E-03,+62.50000E-03
-4.17128000E+00,-250.00000E-03,+62.50000E-03
-4.17124000E+00,-250.00000E-03,+62.50000E-03
-4.17120000E+00,-125.00000E-03,+62.50000E-03
-4.17116000E+00,-125.00000E-03,+62.50000E-03
-4.17112000E+00,-125.00000E-03,+62.50000E-03
-4.17108000E+00,-125.00000E-03,+0.0E+00
-4.17104000E+00,-125.00000E-03,+62.50000E-03
-4.17100000E+00,-250.00000E-03,+0.0E+00
-4.17096000E+00,-125.00000E-03,+125.00000E-03
-4.17092000E+00,-125.00000E-03,+125.00000E-03
-4.17088000E+00,-125.00000E-03,+125.00000E-03
-4.17084000E+00,-250.00000E-03,+0.0E+00
-4.17080000E+00,-125.00000E-03,+62.50000E-03
-4.17076000E+00,-0.0E+00,+0.0E+00
-4.17072000E+00,-125.00000E-03,+62.50000E-03
-4.17068000E+00,-125.00000E-03,+62.50000E-03
-4.17064000E+00,+0.0E+00,+62.50000E-03
-4.17060000E+00,-0.0E+00,+62.50000E-03
-4.17056000E+00,-250.00000E-03,+62.50000E-03
-4.17052000E+00,-250.00000E-03,+125.00000E-03
-4.17048000E+00,-125.00000E-03,+62.50000E-03
-4.17044000E+00,-250.00000E-03,+62.50000E-03
-4.17040000E+00,-250.00000E-03,+62.50000E-03
-4.17036000E+00,-125.00000E-03,+62.50000E-03
-4.17032000E+00,-250.00000E-03,+62.50000E-03
-4.17028000E+00,-250.00000E-03,+0.0E+00
-4.17024000E+00,-125.00000E-03,+62.50000E-03
-4.17020000E+00,-125.00000E-03,+62.50000E-03
-4.17016000E+00,-125.00000E-03,+125.00000E-03
-4.17012000E+00,-0.0E+00,-62.50000E-03
-4.17008000E+00,-125.00000E-03,+62.50000E-03
-4.17004000E+00,-125.00000E-03,+125.00000E-03
-4.17000000E+00,-125.00000E-03,+0.0E+00
-4.16996000E+00,-250.00000E-03,+62.50000E-03
-4.16992000E+00,-250.00000E-03,+62.50000E-03
-4.16988000E+00,-125.00000E-03,+62.50000E-03
-4.16984000E+00,-125.00000E-03,+0.0E+00
-4.16980000E+00,-125.00000E-03,+62.50000E-03
-4.16976000E+00,-250.00000E-03,+62.50000E-03
-4.16972000E+00,-125.00000E-03,+62.50000E-03
-4.16968000E+00,-0.0E+00,+0.0E+00
-4.16964000E+00,-125.00000E-03,+125.00000E-03
-4.16960000E+00,-125.00000E-03,+125.00000E-03
-4.16956000E+00,-125.00000E-03,+125.00000E-03
-4.16952000E+00,-125.00000E-03,+62.50000E-03
-4.16948000E+00,-125.00000E-03,+62.50000E-03
-4.16944000E+00,-125.00000E-03,+62.50000E-03
-4.16940000E+00,-125.00000E-03,+125.00000E-03
