x-axis,V_INC,V_OUT
second,Volt,Volt
-2.85732000E+00,+0.0E+00,+62.50000E-03
-2.85728000E+00,-250.00000E-03,+62.50000E-03
-2.85724000E+00,-125.00000E-03,+62.50000E-03
-2.85720000E+00,-125.00000E-03,+0.0E+00
-2.85716000E+00,-125.00000E-03,+62.50000E-03
-2.85712000E+00,-125.00000E-03,+62.50000E-03
-2.85708000E+00,-125.00000E-03,+0.0E+00
-2.85704000E+00,-125.00000E-03,+62.50000E-03
-2.85700000E+00,-125.00000E-03,+62.50000E-03
-2.85696000E+00,-125.00000E-03,+62.50000E-03
-2.85692000E+00,-250.00000E-03,+62.50000E-03
-2.85688000E+00,-125.00000E-03,+62.50000E-03
-2.85684000E+00,-125.00000E-03,+62.50000E-03
-2.85680000E+00,-125.00000E-03,+62.50000E-03
-2.85676000E+00,-250.00000E-03,+0.0E+00
-2.85672000E+00,-125.00000E-03,+125.00000E-03
-2.85668000E+00,-250.00000E-03,+125.00000E-03
-2.85664000E+00,-250.00000E-03,+0.0E+00
-2.85660000E+00,-125.00000E-03,+62.50000E-03
-2.85656000E+00,-250.00000E-03,+0.0E+00
-2.85652000E+00,-125.00000E-03,+62.50000E-03
-2.85648000E+00,-125.00000E-03,+62.50000E-03
-2.85644000E+00,-250.00000E-03,+62.50000E-03
-2.85640000E+00,-0.0E+00,+62.50000E-03
-2.85636000E+00,-125.00000E-03,+62.50000E-03
-2.85632000E+00,-125.00000E-03,+62.50000E-03
-2.85628000E+00,-0.0E+00,+62.50000E-03
-2.85624000E+00,-250.00000E-03,+62.50000E-03
-2.85620000E+00,-125.00000E-03,+0.0E+00
-2.85616000E+00,-125.00000E-03,+0.0E+00
-2.85612000E+00,-125.00000E-03,+62.50000E-03
-2.85608000E+00,-125.00000E-03,+62.50000E-03
-2.85604000E+00,-0.0E+00,+62.50000E-03
-2.85600000E+00,-125.00000E-03,+62.50000E-03
-2.85596000E+00,-125.00000E-03,+62.50000E-03
-2.85592000E+00,-125.00000E-03,+0.0E+00
-2.85588000E+00,-125.00000E-03,+125.00000E-03
-2.85584000E+00,-125.00000E-03,+62.50000E-03
-2.85580000E+00,-125.00000E-03,+62.50000E-03
-2.85576000E+00,-0.0E+00,+62.50000E-03
-2.85572000E+00,-125.00000E-03,+62.50000E-03
-2.85568000E+00,-250.00000E-03,+62.50000E-03
-2.85564000E+00,-125.00000E-03,+0.0E+00
-2.85560000E+00,-0.0E+00,+62.50000E-03
-2.85556000E+00,-125.00000E-03,+62.50000E-03
-2.85552000E+00,-125.00000E-03,+0.0E+00
-2.85548000E+00,-125.00000E-03,+0.0E+00
-2.85544000E+00,-125.00000E-03,+62.50000E-03
-2.85540000E+00,-125.00000E-03,+0.0E+00
-2.85536000E+00,-125.00000E-03,+125.00000E-03
-2.85532000E+00,-250.00000E-03,+62.50000E-03
-2.85528000E+00,-125.00000E-03,+62.50000E-03
-2.85524000E+00,-250.00000E-03,+125.00000E-03
-2.85520000E+00,-250.00000E-03,+62.50000E-03
-2.85516000E+00,-375.00000E-03,+62.50000E-03
-2.85512000E+00,-0.0E+00,+125.00000E-03
-2.85508000E+00,-250.00000E-03,+125.00000E-03
-2.85504000E+00,-0.0E+00,+0.0E+00
-2.85500000E+00,-250.00000E-03,+125.00000E-03
-2.85496000E+00,-0.0E+00,+62.50000E-03
-2.85492000E+00,+0.0E+00,+0.0E+00
-2.85488000E+00,-250.00000E-03,+125.00000E-03
-2.85484000E+00,-250.00000E-03,+62.50000E-03
-2.85480000E+00,-125.00000E-03,+0.0E+00
-2.85476000E+00,-250.00000E-03,+0.0E+00
-2.85472000E+00,-250.00000E-03,+0.0E+00
-2.85468000E+00,-125.00000E-03,+62.50000E-03
-2.85464000E+00,-0.0E+00,+62.50000E-03
-2.85460000E+00,-125.00000E-03,+62.50000E-03
-2.85456000E+00,-250.00000E-03,+62.50000E-03
-2.85452000E+00,-125.00000E-03,+62.50000E-03
-2.85448000E+00,-125.00000E-03,+0.0E+00
-2.85444000E+00,-250.00000E-03,+0.0E+00
-2.85440000E+00,-125.00000E-03,+62.50000E-03
-2.85436000E+00,-250.00000E-03,+62.50000E-03
-2.85432000E+00,-125.00000E-03,+62.50000E-03
-2.85428000E+00,-0.0E+00,+62.50000E-03
-2.85424000E+00,+0.0E+00,+125.00000E-03
-2.85420000E+00,-125.00000E-03,+62.50000E-03
-2.85416000E+00,-375.00000E-03,+62.50000E-03
-2.85412000E+00,-0.0E+00,+0.0E+00
-2.85408000E+00,-125.00000E-03,+62.50000E-03
-2.85404000E+00,-0.0E+00,+62.50000E-03
-2.85400000E+00,-125.00000E-03,+62.50000E-03
-2.85396000E+00,-0.0E+00,+62.50000E-03
-2.85392000E+00,-125.00000E-03,+62.50000E-03
-2.85388000E+00,-250.00000E-03,+125.00000E-03
-2.85384000E+00,-125.00000E-03,+0.0E+00
-2.85380000E+00,-125.00000E-03,+62.50000E-03
-2.85376000E+00,-250.00000E-03,+62.50000E-03
-2.85372000E+00,-125.00000E-03,+125.00000E-03
-2.85368000E+00,-125.00000E-03,+62.50000E-03
-2.85364000E+00,-0.0E+00,+62.50000E-03
-2.85360000E+00,-125.00000E-03,+62.50000E-03
