x-axis,VREF,VDD1V2
second,Volt,Volt
-3.4258000E+00,-156.2500E-03,-156.2500E-03
-3.4251000E+00,-156.2500E-03,-156.2500E-03
-3.4244000E+00,-156.2500E-03,-156.2500E-03
-3.4237000E+00,-156.2500E-03,-0.0E+00
-3.4230000E+00,-156.2500E-03,-156.2500E-03
-3.4223000E+00,-312.5000E-03,+0.0E+00
-3.4216000E+00,-312.5000E-03,+0.0E+00
-3.4209000E+00,-312.5000E-03,+0.0E+00
-3.4202000E+00,-156.2500E-03,+0.0E+00
-3.4195000E+00,-156.2500E-03,+0.0E+00
-3.4188000E+00,-156.2500E-03,-0.0E+00
-3.4181000E+00,-0.0E+00,-156.2500E-03
-3.4174000E+00,-156.2500E-03,-156.2500E-03
-3.4167000E+00,-156.2500E-03,-156.2500E-03
-3.4160000E+00,-312.5000E-03,-156.2500E-03
-3.4153000E+00,-156.2500E-03,-156.2500E-03
-3.4146000E+00,-156.2500E-03,-156.2500E-03
-3.4139000E+00,-156.2500E-03,+0.0E+00
-3.4132000E+00,-0.0E+00,-0.0E+00
-3.4125000E+00,-156.2500E-03,-156.2500E-03
-3.4118000E+00,-156.2500E-03,-0.0E+00
-3.4111000E+00,-156.2500E-03,-156.2500E-03
-3.4104000E+00,-156.2500E-03,-156.2500E-03
-3.4097000E+00,-312.5000E-03,-0.0E+00
-3.4090000E+00,-156.2500E-03,-156.2500E-03
-3.4083000E+00,-156.2500E-03,-156.2500E-03
-3.4076000E+00,-156.2500E-03,-156.2500E-03
-3.4069000E+00,-156.2500E-03,-0.0E+00
-3.4062000E+00,-312.5000E-03,-156.2500E-03
-3.4055000E+00,-156.2500E-03,-156.2500E-03
-3.4048000E+00,-156.2500E-03,-156.2500E-03
-3.4041000E+00,-0.0E+00,+0.0E+00
-3.4034000E+00,-312.5000E-03,+0.0E+00
-3.4027000E+00,-156.2500E-03,+0.0E+00
-3.4020000E+00,-156.2500E-03,+0.0E+00
-3.4013000E+00,-312.5000E-03,+0.0E+00
-3.4006000E+00,-312.5000E-03,+0.0E+00
-3.3999000E+00,-156.2500E-03,+0.0E+00
-3.3992000E+00,-156.2500E-03,-0.0E+00
-3.3985000E+00,-156.2500E-03,-156.2500E-03
-3.3978000E+00,-156.2500E-03,+156.2500E-03
-3.3971000E+00,-0.0E+00,-0.0E+00
-3.3964000E+00,-312.5000E-03,-156.2500E-03
-3.3957000E+00,-156.2500E-03,+0.0E+00
-3.3950000E+00,-156.2500E-03,-0.0E+00
-3.3943000E+00,-312.5000E-03,-156.2500E-03
-3.3936000E+00,-312.5000E-03,+0.0E+00
-3.3929000E+00,-312.5000E-03,+0.0E+00
-3.3922000E+00,-156.2500E-03,-0.0E+00
-3.3915000E+00,-156.2500E-03,-156.2500E-03
-3.3908000E+00,-156.2500E-03,-156.2500E-03
-3.3901000E+00,-156.2500E-03,-0.0E+00
-3.3894000E+00,-156.2500E-03,-156.2500E-03
-3.3887000E+00,-156.2500E-03,-0.0E+00
-3.3880000E+00,-156.2500E-03,-156.2500E-03
-3.3873000E+00,-312.5000E-03,-156.2500E-03
-3.3866000E+00,-156.2500E-03,-156.2500E-03
-3.3859000E+00,-156.2500E-03,-156.2500E-03
-3.3852000E+00,-312.5000E-03,-156.2500E-03
-3.3845000E+00,-156.2500E-03,+0.0E+00
-3.3838000E+00,-312.5000E-03,+0.0E+00
-3.3831000E+00,-312.5000E-03,-0.0E+00
-3.3824000E+00,-156.2500E-03,-156.2500E-03
-3.3817000E+00,-312.5000E-03,+0.0E+00
-3.3810000E+00,-156.2500E-03,+0.0E+00
-3.3803000E+00,-156.2500E-03,+0.0E+00
-3.3796000E+00,-312.5000E-03,+0.0E+00
-3.3789000E+00,-0.0E+00,+0.0E+00
-3.3782000E+00,-156.2500E-03,-0.0E+00
-3.3775000E+00,-156.2500E-03,-156.2500E-03
-3.3768000E+00,-312.5000E-03,-156.2500E-03
-3.3761000E+00,-0.0E+00,-0.0E+00
-3.3754000E+00,-156.2500E-03,-156.2500E-03
-3.3747000E+00,-156.2500E-03,-0.0E+00
-3.3740000E+00,-156.2500E-03,-312.5000E-03
-3.3733000E+00,-312.5000E-03,-156.2500E-03
-3.3726000E+00,-156.2500E-03,+156.2500E-03
-3.3719000E+00,-156.2500E-03,-156.2500E-03
-3.3712000E+00,-0.0E+00,-156.2500E-03
-3.3705000E+00,-156.2500E-03,-156.2500E-03
-3.3698000E+00,-312.5000E-03,-0.0E+00
-3.3691000E+00,-156.2500E-03,-156.2500E-03
-3.3684000E+00,-312.5000E-03,-156.2500E-03
-3.3677000E+00,-156.2500E-03,-156.2500E-03
-3.3670000E+00,-312.5000E-03,-156.2500E-03
-3.3663000E+00,-156.2500E-03,-0.0E+00
-3.3656000E+00,-156.2500E-03,-156.2500E-03
-3.3649000E+00,-312.5000E-03,-156.2500E-03
-3.3642000E+00,-312.5000E-03,+0.0E+00
-3.3635000E+00,-156.2500E-03,+156.2500E-03
-3.3628000E+00,-156.2500E-03,+156.2500E-03
-3.3621000E+00,-156.2500E-03,+0.0E+00
-3.3614000E+00,-312.5000E-03,+0.0E+00
-3.3607000E+00,-156.2500E-03,-0.0E+00
-3.3600000E+00,-156.2500E-03,-156.2500E-03
-3.3593000E+00,-312.5000E-03,-156.2500E-03
-3.3586000E+00,-156.2500E-03,-156.2500E-03
-3.3579000E+00,-156.2500E-03,+156.2500E-03
-3.3572000E+00,+0.0E+00,-156.2500E-03
-3.3565000E+00,-0.0E+00,-0.0E+00
-3.3558000E+00,-312.5000E-03,-156.2500E-03
-3.3551000E+00,-156.2500E-03,-0.0E+00
-3.3544000E+00,-156.2500E-03,-156.2500E-03
-3.3537000E+00,-312.5000E-03,+0.0E+00
-3.3530000E+00,-312.5000E-03,+0.0E+00
-3.3523000E+00,-156.2500E-03,+0.0E+00
-3.3516000E+00,-156.2500E-03,-0.0E+00
-3.3509000E+00,-312.5000E-03,-156.2500E-03
-3.3502000E+00,-156.2500E-03,-156.2500E-03
-3.3495000E+00,-156.2500E-03,+0.0E+00
-3.3488000E+00,-312.5000E-03,+0.0E+00
-3.3481000E+00,-312.5000E-03,+0.0E+00
-3.3474000E+00,-156.2500E-03,+0.0E+00
-3.3467000E+00,-156.2500E-03,-0.0E+00
-3.3460000E+00,-156.2500E-03,-156.2500E-03
-3.3453000E+00,-156.2500E-03,-0.0E+00
-3.3446000E+00,-156.2500E-03,-156.2500E-03
-3.3439000E+00,-312.5000E-03,+0.0E+00
-3.3432000E+00,-156.2500E-03,-0.0E+00
-3.3425000E+00,-156.2500E-03,-156.2500E-03
-3.3418000E+00,-156.2500E-03,+0.0E+00
-3.3411000E+00,-312.5000E-03,-0.0E+00
-3.3404000E+00,-156.2500E-03,-156.2500E-03
-3.3397000E+00,-156.2500E-03,+0.0E+00
-3.3390000E+00,-312.5000E-03,+0.0E+00
-3.3383000E+00,-156.2500E-03,+0.0E+00
-3.3376000E+00,-156.2500E-03,-0.0E+00
-3.3369000E+00,-156.2500E-03,-156.2500E-03
-3.3362000E+00,-156.2500E-03,+156.2500E-03
-3.3355000E+00,-156.2500E-03,-156.2500E-03
-3.3348000E+00,-156.2500E-03,+0.0E+00
-3.3341000E+00,-156.2500E-03,-0.0E+00
-3.3334000E+00,-156.2500E-03,-312.5000E-03
-3.3327000E+00,-156.2500E-03,+0.0E+00
-3.3320000E+00,-156.2500E-03,+0.0E+00
-3.3313000E+00,+0.0E+00,-0.0E+00
-3.3306000E+00,-0.0E+00,-156.2500E-03
-3.3299000E+00,-156.2500E-03,+0.0E+00
-3.3292000E+00,-156.2500E-03,-0.0E+00
-3.3285000E+00,-156.2500E-03,-156.2500E-03
-3.3278000E+00,-312.5000E-03,-156.2500E-03
-3.3271000E+00,-156.2500E-03,+0.0E+00
-3.3264000E+00,-156.2500E-03,-0.0E+00
-3.3257000E+00,-312.5000E-03,-156.2500E-03
-3.3250000E+00,-312.5000E-03,-156.2500E-03
-3.3243000E+00,-312.5000E-03,+0.0E+00
-3.3236000E+00,-156.2500E-03,+0.0E+00
-3.3229000E+00,-156.2500E-03,-0.0E+00
-3.3222000E+00,-156.2500E-03,-156.2500E-03
-3.3215000E+00,-312.5000E-03,-156.2500E-03
-3.3208000E+00,-156.2500E-03,-156.2500E-03
-3.3201000E+00,-156.2500E-03,-156.2500E-03
-3.3194000E+00,-312.5000E-03,+0.0E+00
-3.3187000E+00,-312.5000E-03,+0.0E+00
-3.3180000E+00,-312.5000E-03,+0.0E+00
-3.3173000E+00,-312.5000E-03,+0.0E+00
-3.3166000E+00,-156.2500E-03,+156.2500E-03
-3.3159000E+00,-156.2500E-03,-156.2500E-03
-3.3152000E+00,-312.5000E-03,+0.0E+00
-3.3145000E+00,-312.5000E-03,-0.0E+00
-3.3138000E+00,-156.2500E-03,-312.5000E-03
-3.3131000E+00,-156.2500E-03,+0.0E+00
-3.3124000E+00,-156.2500E-03,+0.0E+00
-3.3117000E+00,-156.2500E-03,+0.0E+00
-3.3110000E+00,-156.2500E-03,+156.2500E-03
-3.3103000E+00,-312.5000E-03,-156.2500E-03
-3.3096000E+00,-156.2500E-03,+0.0E+00
-3.3089000E+00,-156.2500E-03,-0.0E+00
-3.3082000E+00,-156.2500E-03,-156.2500E-03
-3.3075000E+00,-0.0E+00,-156.2500E-03
-3.3068000E+00,-156.2500E-03,+156.2500E-03
-3.3061000E+00,-156.2500E-03,+0.0E+00
-3.3054000E+00,-0.0E+00,+0.0E+00
-3.3047000E+00,-156.2500E-03,+0.0E+00
-3.3040000E+00,-156.2500E-03,-0.0E+00
-3.3033000E+00,-156.2500E-03,-156.2500E-03
-3.3026000E+00,-156.2500E-03,-0.0E+00
-3.3019000E+00,-156.2500E-03,-156.2500E-03
-3.3012000E+00,-156.2500E-03,+0.0E+00
-3.3005000E+00,-156.2500E-03,-0.0E+00
-3.2998000E+00,-156.2500E-03,-312.5000E-03
-3.2991000E+00,-156.2500E-03,+0.0E+00
-3.2984000E+00,-312.5000E-03,+0.0E+00
-3.2977000E+00,-156.2500E-03,-0.0E+00
-3.2970000E+00,-312.5000E-03,-156.2500E-03
-3.2963000E+00,-0.0E+00,-156.2500E-03
-3.2956000E+00,-156.2500E-03,+0.0E+00
-3.2949000E+00,-312.5000E-03,+0.0E+00
-3.2942000E+00,-312.5000E-03,+0.0E+00
-3.2935000E+00,-312.5000E-03,+0.0E+00
-3.2928000E+00,-0.0E+00,-0.0E+00
-3.2921000E+00,-156.2500E-03,-156.2500E-03
-3.2914000E+00,-156.2500E-03,-0.0E+00
-3.2907000E+00,-156.2500E-03,-156.2500E-03
-3.2900000E+00,-312.5000E-03,+0.0E+00
-3.2893000E+00,-156.2500E-03,+0.0E+00
-3.2886000E+00,-156.2500E-03,-0.0E+00
-3.2879000E+00,-312.5000E-03,-156.2500E-03
-3.2872000E+00,-156.2500E-03,-156.2500E-03
-3.2865000E+00,-156.2500E-03,-156.2500E-03
-3.2858000E+00,-312.5000E-03,-156.2500E-03
-3.2851000E+00,-312.5000E-03,-312.5000E-03
-3.2844000E+00,-312.5000E-03,+0.0E+00
-3.2837000E+00,-156.2500E-03,+156.2500E-03
-3.2830000E+00,-156.2500E-03,+0.0E+00
-3.2823000E+00,-156.2500E-03,-0.0E+00
-3.2816000E+00,-156.2500E-03,-156.2500E-03
-3.2809000E+00,-0.0E+00,+0.0E+00
-3.2802000E+00,-312.5000E-03,-0.0E+00
-3.2795000E+00,-156.2500E-03,-156.2500E-03
-3.2788000E+00,-156.2500E-03,-156.2500E-03
-3.2781000E+00,-312.5000E-03,-156.2500E-03
-3.2774000E+00,-156.2500E-03,-156.2500E-03
-3.2767000E+00,-156.2500E-03,+0.0E+00
-3.2760000E+00,-156.2500E-03,-0.0E+00
-3.2753000E+00,-156.2500E-03,-156.2500E-03
-3.2746000E+00,-156.2500E-03,-156.2500E-03
-3.2739000E+00,-156.2500E-03,+0.0E+00
-3.2732000E+00,-312.5000E-03,+0.0E+00
-3.2725000E+00,-156.2500E-03,-0.0E+00
-3.2718000E+00,-156.2500E-03,-156.2500E-03
-3.2711000E+00,-156.2500E-03,-156.2500E-03
-3.2704000E+00,-0.0E+00,-0.0E+00
-3.2697000E+00,-312.5000E-03,-156.2500E-03
-3.2690000E+00,-156.2500E-03,-156.2500E-03
-3.2683000E+00,-312.5000E-03,-0.0E+00
-3.2676000E+00,-0.0E+00,-156.2500E-03
-3.2669000E+00,-312.5000E-03,-156.2500E-03
-3.2662000E+00,-156.2500E-03,-156.2500E-03
-3.2655000E+00,-156.2500E-03,-156.2500E-03
-3.2648000E+00,-312.5000E-03,-0.0E+00
-3.2641000E+00,-0.0E+00,-156.2500E-03
-3.2634000E+00,-156.2500E-03,-156.2500E-03
-3.2627000E+00,-156.2500E-03,-156.2500E-03
-3.2620000E+00,-156.2500E-03,-156.2500E-03
-3.2613000E+00,-468.7500E-03,-156.2500E-03
-3.2606000E+00,-156.2500E-03,-156.2500E-03
-3.2599000E+00,-156.2500E-03,-156.2500E-03
-3.2592000E+00,+0.0E+00,-156.2500E-03
-3.2585000E+00,-0.0E+00,-156.2500E-03
-3.2578000E+00,-156.2500E-03,+0.0E+00
-3.2571000E+00,-156.2500E-03,+0.0E+00
-3.2564000E+00,-312.5000E-03,+0.0E+00
-3.2557000E+00,-156.2500E-03,-0.0E+00
-3.2550000E+00,-156.2500E-03,-156.2500E-03
