x-axis,VREF,VDD1V2
second,Volt,Volt
-2.8406000E+00,-158.7496E-03,-187.5000E-03
-2.8405000E+00,-158.7496E-03,-187.5000E-03
-2.8404000E+00,-2.4996E-03,-31.2500E-03
-2.8403000E+00,-314.9996E-03,+125.0000E-03
-2.8402000E+00,-158.7496E-03,-31.2500E-03
-2.8401000E+00,-2.4996E-03,-31.2500E-03
-2.8400000E+00,-158.7496E-03,-31.2500E-03
-2.8399000E+00,-158.7496E-03,-187.5000E-03
-2.8398000E+00,-158.7496E-03,-31.2500E-03
-2.8397000E+00,-314.9996E-03,-31.2500E-03
-2.8396000E+00,-158.7496E-03,-31.2500E-03
-2.8395000E+00,-314.9996E-03,-31.2500E-03
-2.8394000E+00,-158.7496E-03,-31.2500E-03
-2.8393000E+00,-158.7496E-03,-31.2500E-03
-2.8392000E+00,-158.7496E-03,-31.2500E-03
-2.8391000E+00,-314.9996E-03,-31.2500E-03
-2.8390000E+00,-314.9996E-03,-187.5000E-03
-2.8389000E+00,-314.9996E-03,-187.5000E-03
-2.8388000E+00,-158.7496E-03,-31.2500E-03
-2.8387000E+00,-158.7496E-03,-31.2500E-03
-2.8386000E+00,-158.7496E-03,-31.2500E-03
-2.8385000E+00,-314.9996E-03,-187.5000E-03
-2.8384000E+00,-314.9996E-03,-31.2500E-03
-2.8383000E+00,-158.7496E-03,-31.2500E-03
-2.8382000E+00,-314.9996E-03,-31.2500E-03
-2.8381000E+00,-314.9996E-03,-187.5000E-03
-2.8380000E+00,-158.7496E-03,-31.2500E-03
-2.8379000E+00,-158.7496E-03,-31.2500E-03
-2.8378000E+00,-158.7496E-03,-31.2500E-03
-2.8377000E+00,-314.9996E-03,-31.2500E-03
-2.8376000E+00,-158.7496E-03,-31.2500E-03
-2.8375000E+00,-158.7496E-03,-187.5000E-03
-2.8374000E+00,-158.7496E-03,-31.2500E-03
-2.8373000E+00,-314.9996E-03,-31.2500E-03
-2.8372000E+00,-158.7496E-03,-31.2500E-03
-2.8371000E+00,-158.7496E-03,-31.2500E-03
-2.8370000E+00,-314.9996E-03,-31.2500E-03
-2.8369000E+00,-158.7496E-03,-31.2500E-03
-2.8368000E+00,-314.9996E-03,-31.2500E-03
-2.8367000E+00,-314.9996E-03,-31.2500E-03
-2.8366000E+00,-158.7496E-03,-31.2500E-03
-2.8365000E+00,-158.7496E-03,-31.2500E-03
-2.8364000E+00,-158.7496E-03,-31.2500E-03
-2.8363000E+00,-158.7496E-03,-31.2500E-03
-2.8362000E+00,-158.7496E-03,-31.2500E-03
-2.8361000E+00,-158.7496E-03,-31.2500E-03
-2.8360000E+00,-158.7496E-03,-31.2500E-03
-2.8359000E+00,-158.7496E-03,-31.2500E-03
-2.8358000E+00,-158.7496E-03,-31.2500E-03
-2.8357000E+00,-158.7496E-03,-31.2500E-03
-2.8356000E+00,-158.7496E-03,-31.2500E-03
-2.8355000E+00,-158.7496E-03,-31.2500E-03
-2.8354000E+00,-471.2496E-03,-187.5000E-03
-2.8353000E+00,-314.9996E-03,-31.2500E-03
-2.8352000E+00,-158.7496E-03,-31.2500E-03
-2.8351000E+00,-158.7496E-03,+125.0000E-03
-2.8350000E+00,-314.9996E-03,-31.2500E-03
-2.8349000E+00,-158.7496E-03,-31.2500E-03
-2.8348000E+00,-314.9996E-03,-187.5000E-03
-2.8347000E+00,-158.7496E-03,-31.2500E-03
-2.8346000E+00,-314.9996E-03,-187.5000E-03
-2.8345000E+00,-314.9996E-03,-31.2500E-03
-2.8344000E+00,-158.7496E-03,+125.0000E-03
-2.8343000E+00,-2.4996E-03,-31.2500E-03
-2.8342000E+00,-158.7496E-03,-187.5000E-03
-2.8341000E+00,-158.7496E-03,-187.5000E-03
-2.8340000E+00,-314.9996E-03,-187.5000E-03
-2.8339000E+00,-158.7496E-03,+125.0000E-03
-2.8338000E+00,-314.9996E-03,-187.5000E-03
-2.8337000E+00,-314.9996E-03,-31.2500E-03
-2.8336000E+00,-158.7496E-03,-187.5000E-03
-2.8335000E+00,-314.9996E-03,-31.2500E-03
-2.8334000E+00,-158.7496E-03,-187.5000E-03
-2.8333000E+00,-158.7496E-03,+125.0000E-03
-2.8332000E+00,-314.9996E-03,-31.2500E-03
-2.8331000E+00,-158.7496E-03,-31.2500E-03
-2.8330000E+00,-314.9996E-03,-31.2500E-03
-2.8329000E+00,-314.9996E-03,-187.5000E-03
-2.8328000E+00,-158.7496E-03,-187.5000E-03
-2.8327000E+00,-314.9996E-03,-31.2500E-03
-2.8326000E+00,-158.7496E-03,-187.5000E-03
-2.8325000E+00,-314.9996E-03,-31.2500E-03
-2.8324000E+00,-158.7496E-03,-31.2500E-03
-2.8323000E+00,-158.7496E-03,-187.5000E-03
-2.8322000E+00,-314.9996E-03,+125.0000E-03
-2.8321000E+00,-2.4996E-03,-31.2500E-03
-2.8320000E+00,-314.9996E-03,+125.0000E-03
-2.8319000E+00,-314.9996E-03,+125.0000E-03
-2.8318000E+00,-314.9996E-03,+125.0000E-03
-2.8317000E+00,-158.7496E-03,-31.2500E-03
-2.8316000E+00,-158.7496E-03,-31.2500E-03
-2.8315000E+00,-158.7496E-03,-31.2500E-03
-2.8314000E+00,-158.7496E-03,+125.0000E-03
-2.8313000E+00,-158.7496E-03,-31.2500E-03
-2.8312000E+00,-471.2496E-03,-187.5000E-03
-2.8311000E+00,-314.9996E-03,-31.2500E-03
-2.8310000E+00,-158.7496E-03,+125.0000E-03
-2.8309000E+00,-158.7496E-03,-31.2500E-03
-2.8308000E+00,-314.9996E-03,+125.0000E-03
-2.8307000E+00,-158.7496E-03,-31.2500E-03
-2.8306000E+00,-158.7496E-03,-31.2500E-03
-2.8305000E+00,-158.7496E-03,-31.2500E-03
-2.8304000E+00,-158.7496E-03,-187.5000E-03
-2.8303000E+00,-314.9996E-03,-31.2500E-03
-2.8302000E+00,-158.7496E-03,-31.2500E-03
-2.8301000E+00,-2.4996E-03,-31.2500E-03
-2.8300000E+00,-314.9996E-03,-187.5000E-03
-2.8299000E+00,-158.7496E-03,-31.2500E-03
-2.8298000E+00,-2.4996E-03,+125.0000E-03
-2.8297000E+00,-314.9996E-03,-187.5000E-03
-2.8296000E+00,-158.7496E-03,-31.2500E-03
-2.8295000E+00,-314.9996E-03,-31.2500E-03
-2.8294000E+00,-158.7496E-03,-31.2500E-03
-2.8293000E+00,-158.7496E-03,+125.0000E-03
-2.8292000E+00,-158.7496E-03,-187.5000E-03
-2.8291000E+00,-158.7496E-03,+125.0000E-03
-2.8290000E+00,-158.7496E-03,-31.2500E-03
-2.8289000E+00,-314.9996E-03,-31.2500E-03
-2.8288000E+00,-158.7496E-03,-31.2500E-03
-2.8287000E+00,-314.9996E-03,-31.2500E-03
-2.8286000E+00,-158.7496E-03,-187.5000E-03
-2.8285000E+00,-314.9996E-03,-31.2500E-03
-2.8284000E+00,-158.7496E-03,-31.2500E-03
-2.8283000E+00,-158.7496E-03,-31.2500E-03
-2.8282000E+00,-314.9996E-03,-187.5000E-03
-2.8281000E+00,-158.7496E-03,+125.0000E-03
-2.8280000E+00,-158.7496E-03,-187.5000E-03
-2.8279000E+00,-158.7496E-03,+125.0000E-03
-2.8278000E+00,-158.7496E-03,-31.2500E-03
-2.8277000E+00,-314.9996E-03,+125.0000E-03
-2.8276000E+00,-158.7496E-03,-187.5000E-03
-2.8275000E+00,-314.9996E-03,-31.2500E-03
-2.8274000E+00,-158.7496E-03,-187.5000E-03
-2.8273000E+00,-158.7496E-03,-31.2500E-03
-2.8272000E+00,-158.7496E-03,-31.2500E-03
-2.8271000E+00,-158.7496E-03,+125.0000E-03
-2.8270000E+00,-158.7496E-03,-187.5000E-03
-2.8269000E+00,-158.7496E-03,-31.2500E-03
-2.8268000E+00,-158.7496E-03,-31.2500E-03
-2.8267000E+00,-314.9996E-03,-31.2500E-03
-2.8266000E+00,-158.7496E-03,-31.2500E-03
-2.8265000E+00,-314.9996E-03,-31.2500E-03
-2.8264000E+00,-158.7496E-03,-31.2500E-03
-2.8263000E+00,-158.7496E-03,-31.2500E-03
-2.8262000E+00,-314.9996E-03,-31.2500E-03
-2.8261000E+00,-158.7496E-03,-31.2500E-03
-2.8260000E+00,-158.7496E-03,-31.2500E-03
-2.8259000E+00,-314.9996E-03,-31.2500E-03
-2.8258000E+00,-314.9996E-03,-187.5000E-03
-2.8257000E+00,-158.7496E-03,+125.0000E-03
-2.8256000E+00,-158.7496E-03,-31.2500E-03
-2.8255000E+00,-158.7496E-03,-31.2500E-03
-2.8254000E+00,-158.7496E-03,-187.5000E-03
-2.8253000E+00,-2.4996E-03,-31.2500E-03
-2.8252000E+00,-158.7496E-03,-31.2500E-03
-2.8251000E+00,-314.9996E-03,-31.2500E-03
-2.8250000E+00,-314.9996E-03,-31.2500E-03
-2.8249000E+00,-314.9996E-03,-31.2500E-03
-2.8248000E+00,-158.7496E-03,-187.5000E-03
-2.8247000E+00,-158.7496E-03,-187.5000E-03
-2.8246000E+00,-314.9996E-03,-31.2500E-03
-2.8245000E+00,-158.7496E-03,-31.2500E-03
-2.8244000E+00,-2.4996E-03,-31.2500E-03
-2.8243000E+00,-158.7496E-03,-31.2500E-03
-2.8242000E+00,-314.9996E-03,-187.5000E-03
-2.8241000E+00,-314.9996E-03,-31.2500E-03
-2.8240000E+00,-314.9996E-03,-31.2500E-03
-2.8239000E+00,-158.7496E-03,-187.5000E-03
-2.8238000E+00,-158.7496E-03,-31.2500E-03
-2.8237000E+00,-158.7496E-03,-31.2500E-03
-2.8236000E+00,-158.7496E-03,-31.2500E-03
-2.8235000E+00,-158.7496E-03,-187.5000E-03
-2.8234000E+00,-314.9996E-03,+125.0000E-03
-2.8233000E+00,-158.7496E-03,-31.2500E-03
-2.8232000E+00,-158.7496E-03,-31.2500E-03
-2.8231000E+00,-158.7496E-03,-31.2500E-03
-2.8230000E+00,-314.9996E-03,-31.2500E-03
-2.8229000E+00,-158.7496E-03,+125.0000E-03
-2.8228000E+00,-314.9996E-03,-187.5000E-03
-2.8227000E+00,-314.9996E-03,+125.0000E-03
-2.8226000E+00,-314.9996E-03,+125.0000E-03
-2.8225000E+00,-158.7496E-03,-31.2500E-03
-2.8224000E+00,-314.9996E-03,+125.0000E-03
-2.8223000E+00,-158.7496E-03,+125.0000E-03
-2.8222000E+00,-158.7496E-03,-31.2500E-03
-2.8221000E+00,-158.7496E-03,-31.2500E-03
-2.8220000E+00,-158.7496E-03,-31.2500E-03
-2.8219000E+00,-158.7496E-03,-187.5000E-03
-2.8218000E+00,-314.9996E-03,-31.2500E-03
-2.8217000E+00,-158.7496E-03,-31.2500E-03
-2.8216000E+00,-627.4996E-03,-31.2500E-03
-2.8215000E+00,-158.7496E-03,-31.2500E-03
-2.8214000E+00,-158.7496E-03,-31.2500E-03
-2.8213000E+00,-314.9996E-03,+125.0000E-03
-2.8212000E+00,-158.7496E-03,+125.0000E-03
-2.8211000E+00,-158.7496E-03,-31.2500E-03
-2.8210000E+00,-158.7496E-03,-31.2500E-03
-2.8209000E+00,-158.7496E-03,-31.2500E-03
-2.8208000E+00,-158.7496E-03,-31.2500E-03
-2.8207000E+00,-158.7496E-03,-31.2500E-03
-2.8206000E+00,-158.7496E-03,-31.2500E-03
-2.8205000E+00,-158.7496E-03,-31.2500E-03
-2.8204000E+00,-314.9996E-03,-187.5000E-03
-2.8203000E+00,-314.9996E-03,+125.0000E-03
-2.8202000E+00,-314.9996E-03,-31.2500E-03
-2.8201000E+00,-158.7496E-03,-187.5000E-03
-2.8200000E+00,-314.9996E-03,-187.5000E-03
-2.8199000E+00,-158.7496E-03,+125.0000E-03
-2.8198000E+00,-158.7496E-03,-31.2500E-03
-2.8197000E+00,-314.9996E-03,-187.5000E-03
-2.8196000E+00,-314.9996E-03,+125.0000E-03
-2.8195000E+00,-2.4996E-03,+125.0000E-03
-2.8194000E+00,-158.7496E-03,-187.5000E-03
-2.8193000E+00,-314.9996E-03,-31.2500E-03
-2.8192000E+00,-158.7496E-03,-31.2500E-03
-2.8191000E+00,-314.9996E-03,-31.2500E-03
-2.8190000E+00,-158.7496E-03,-31.2500E-03
-2.8189000E+00,-314.9996E-03,-31.2500E-03
-2.8188000E+00,-314.9996E-03,-31.2500E-03
-2.8187000E+00,-314.9996E-03,-31.2500E-03
-2.8186000E+00,-314.9996E-03,-31.2500E-03
-2.8185000E+00,-158.7496E-03,-31.2500E-03
-2.8184000E+00,-158.7496E-03,-31.2500E-03
-2.8183000E+00,-158.7496E-03,+125.0000E-03
-2.8182000E+00,-158.7496E-03,-187.5000E-03
-2.8181000E+00,-158.7496E-03,-31.2500E-03
-2.8180000E+00,-158.7496E-03,-31.2500E-03
-2.8179000E+00,-314.9996E-03,-31.2500E-03
-2.8178000E+00,-158.7496E-03,-31.2500E-03
-2.8177000E+00,-158.7496E-03,-31.2500E-03
-2.8176000E+00,-158.7496E-03,-31.2500E-03
-2.8175000E+00,-314.9996E-03,-31.2500E-03
-2.8174000E+00,-314.9996E-03,-31.2500E-03
-2.8173000E+00,-158.7496E-03,-31.2500E-03
-2.8172000E+00,-158.7496E-03,+125.0000E-03
-2.8171000E+00,-158.7496E-03,-31.2500E-03
-2.8170000E+00,-314.9996E-03,+125.0000E-03
-2.8169000E+00,-314.9996E-03,-187.5000E-03
-2.8168000E+00,-314.9996E-03,-31.2500E-03
-2.8167000E+00,-314.9996E-03,-31.2500E-03
-2.8166000E+00,-158.7496E-03,-31.2500E-03
-2.8165000E+00,-158.7496E-03,+125.0000E-03
-2.8164000E+00,-158.7496E-03,-31.2500E-03
-2.8163000E+00,-158.7496E-03,+125.0000E-03
-2.8162000E+00,-314.9996E-03,-31.2500E-03
-2.8161000E+00,-314.9996E-03,+125.0000E-03
-2.8160000E+00,-158.7496E-03,-31.2500E-03
-2.8159000E+00,-314.9996E-03,+125.0000E-03
-2.8158000E+00,-158.7496E-03,-31.2500E-03
-2.8157000E+00,-158.7496E-03,-187.5000E-03
-2.8156000E+00,-158.7496E-03,-31.2500E-03
-2.8155000E+00,-314.9996E-03,-31.2500E-03
-2.8154000E+00,-158.7496E-03,-187.5000E-03
-2.8153000E+00,-314.9996E-03,-31.2500E-03
-2.8152000E+00,-158.7496E-03,-31.2500E-03
-2.8151000E+00,-314.9996E-03,-31.2500E-03
-2.8150000E+00,-158.7496E-03,-31.2500E-03
-2.8149000E+00,-314.9996E-03,-31.2500E-03
-2.8148000E+00,-314.9996E-03,+125.0000E-03
-2.8147000E+00,-158.7496E-03,-187.5000E-03
-2.8146000E+00,-314.9996E-03,-31.2500E-03
-2.8145000E+00,-158.7496E-03,-31.2500E-03
-2.8144000E+00,-158.7496E-03,+125.0000E-03
-2.8143000E+00,-158.7496E-03,-31.2500E-03
-2.8142000E+00,-314.9996E-03,-31.2500E-03
-2.8141000E+00,-314.9996E-03,-31.2500E-03
-2.8140000E+00,-158.7496E-03,-187.5000E-03
-2.8139000E+00,-158.7496E-03,-31.2500E-03
-2.8138000E+00,-2.4996E-03,-31.2500E-03
-2.8137000E+00,-314.9996E-03,-31.2500E-03
-2.8136000E+00,-314.9996E-03,+125.0000E-03
-2.8135000E+00,-158.7496E-03,-31.2500E-03
-2.8134000E+00,-158.7496E-03,-31.2500E-03
-2.8133000E+00,-314.9996E-03,-187.5000E-03
-2.8132000E+00,-158.7496E-03,-31.2500E-03
-2.8131000E+00,-314.9996E-03,-187.5000E-03
-2.8130000E+00,-314.9996E-03,-187.5000E-03
-2.8129000E+00,-314.9996E-03,-31.2500E-03
-2.8128000E+00,-158.7496E-03,-31.2500E-03
-2.8127000E+00,-158.7496E-03,+125.0000E-03
-2.8126000E+00,-314.9996E-03,-31.2500E-03
-2.8125000E+00,-314.9996E-03,-31.2500E-03
-2.8124000E+00,-314.9996E-03,-31.2500E-03
-2.8123000E+00,-314.9996E-03,-187.5000E-03
-2.8122000E+00,-158.7496E-03,-187.5000E-03
-2.8121000E+00,-314.9996E-03,-31.2500E-03
-2.8120000E+00,-314.9996E-03,-31.2500E-03
-2.8119000E+00,-158.7496E-03,+125.0000E-03
-2.8118000E+00,-158.7496E-03,-187.5000E-03
-2.8117000E+00,-314.9996E-03,-31.2500E-03
-2.8116000E+00,-158.7496E-03,+125.0000E-03
-2.8115000E+00,-314.9996E-03,-187.5000E-03
-2.8114000E+00,-314.9996E-03,+125.0000E-03
-2.8113000E+00,-314.9996E-03,-187.5000E-03
-2.8112000E+00,-158.7496E-03,-31.2500E-03
-2.8111000E+00,-314.9996E-03,-31.2500E-03
-2.8110000E+00,-158.7496E-03,-31.2500E-03
-2.8109000E+00,-314.9996E-03,-31.2500E-03
