x-axis,VREF,VDD1V2
second,Volt,Volt
-2.91465000E+00,-218.75000E-03,+62.50000E-03
-2.91460000E+00,-218.75000E-03,+62.50000E-03
-2.91455000E+00,-218.75000E-03,-93.75000E-03
-2.91450000E+00,-218.75000E-03,-93.75000E-03
-2.91445000E+00,-218.75000E-03,-250.00000E-03
-2.91440000E+00,-62.50000E-03,-93.75000E-03
-2.91435000E+00,-375.00000E-03,-93.75000E-03
-2.91430000E+00,-218.75000E-03,-93.75000E-03
-2.91425000E+00,-375.00000E-03,-93.75000E-03
-2.91420000E+00,-218.75000E-03,+218.75000E-03
-2.91415000E+00,-375.00000E-03,-93.75000E-03
-2.91410000E+00,-218.75000E-03,+62.50000E-03
-2.91405000E+00,-218.75000E-03,-93.75000E-03
-2.91400000E+00,-375.00000E-03,-93.75000E-03
-2.91395000E+00,-218.75000E-03,+218.75000E-03
-2.91390000E+00,-218.75000E-03,-93.75000E-03
-2.91385000E+00,-218.75000E-03,+62.50000E-03
-2.91380000E+00,-218.75000E-03,-93.75000E-03
-2.91375000E+00,-218.75000E-03,-93.75000E-03
-2.91370000E+00,-375.00000E-03,-93.75000E-03
-2.91365000E+00,-375.00000E-03,+62.50000E-03
-2.91360000E+00,-62.50000E-03,+62.50000E-03
-2.91355000E+00,-375.00000E-03,-93.75000E-03
-2.91350000E+00,-218.75000E-03,-93.75000E-03
-2.91345000E+00,-218.75000E-03,-93.75000E-03
-2.91340000E+00,-218.75000E-03,-93.75000E-03
-2.91335000E+00,-375.00000E-03,+62.50000E-03
-2.91330000E+00,-218.75000E-03,-93.75000E-03
-2.91325000E+00,-531.25000E-03,-93.75000E-03
-2.91320000E+00,-375.00000E-03,-93.75000E-03
-2.91315000E+00,-375.00000E-03,+62.50000E-03
-2.91310000E+00,-218.75000E-03,+62.50000E-03
-2.91305000E+00,-375.00000E-03,-250.00000E-03
-2.91300000E+00,-218.75000E-03,-93.75000E-03
-2.91295000E+00,-218.75000E-03,-93.75000E-03
-2.91290000E+00,-62.50000E-03,-250.00000E-03
-2.91285000E+00,-218.75000E-03,+62.50000E-03
-2.91280000E+00,-62.50000E-03,-93.75000E-03
-2.91275000E+00,-218.75000E-03,-93.75000E-03
-2.91270000E+00,-218.75000E-03,-93.75000E-03
-2.91265000E+00,-375.00000E-03,-93.75000E-03
-2.91260000E+00,-62.50000E-03,-93.75000E-03
-2.91255000E+00,-218.75000E-03,-93.75000E-03
-2.91250000E+00,-375.00000E-03,+62.50000E-03
-2.91245000E+00,-531.25000E-03,-93.75000E-03
-2.91240000E+00,-218.75000E-03,+62.50000E-03
-2.91235000E+00,-218.75000E-03,-93.75000E-03
-2.91230000E+00,-218.75000E-03,-93.75000E-03
-2.91225000E+00,-218.75000E-03,+62.50000E-03
-2.91220000E+00,-218.75000E-03,+62.50000E-03
-2.91215000E+00,-375.00000E-03,-250.00000E-03
-2.91210000E+00,-218.75000E-03,+62.50000E-03
-2.91205000E+00,-218.75000E-03,-93.75000E-03
-2.91200000E+00,-218.75000E-03,-93.75000E-03
-2.91195000E+00,-218.75000E-03,+62.50000E-03
-2.91190000E+00,-218.75000E-03,+62.50000E-03
-2.91185000E+00,-218.75000E-03,-93.75000E-03
-2.91180000E+00,-218.75000E-03,+62.50000E-03
-2.91175000E+00,-218.75000E-03,+62.50000E-03
-2.91170000E+00,-218.75000E-03,-93.75000E-03
-2.91165000E+00,-218.75000E-03,-93.75000E-03
-2.91160000E+00,-218.75000E-03,-250.00000E-03
-2.91155000E+00,-218.75000E-03,+62.50000E-03
-2.91150000E+00,-218.75000E-03,-93.75000E-03
-2.91145000E+00,-375.00000E-03,-93.75000E-03
-2.91140000E+00,-375.00000E-03,-93.75000E-03
-2.91135000E+00,-62.50000E-03,-93.75000E-03
-2.91130000E+00,-218.75000E-03,+62.50000E-03
-2.91125000E+00,-218.75000E-03,+62.50000E-03
-2.91120000E+00,-218.75000E-03,-93.75000E-03
-2.91115000E+00,-218.75000E-03,-93.75000E-03
-2.91110000E+00,-218.75000E-03,-93.75000E-03
-2.91105000E+00,-218.75000E-03,-93.75000E-03
-2.91100000E+00,-218.75000E-03,+62.50000E-03
-2.91095000E+00,-375.00000E-03,+62.50000E-03
-2.91090000E+00,-218.75000E-03,+62.50000E-03
-2.91085000E+00,-218.75000E-03,+62.50000E-03
-2.91080000E+00,-218.75000E-03,-93.75000E-03
-2.91075000E+00,-62.50000E-03,-93.75000E-03
-2.91070000E+00,-218.75000E-03,-93.75000E-03
-2.91065000E+00,-375.00000E-03,-93.75000E-03
-2.91060000E+00,-218.75000E-03,+62.50000E-03
-2.91055000E+00,-375.00000E-03,-93.75000E-03
-2.91050000E+00,-531.25000E-03,-93.75000E-03
-2.91045000E+00,-218.75000E-03,+62.50000E-03
-2.91040000E+00,-218.75000E-03,-93.75000E-03
-2.91035000E+00,-375.00000E-03,-93.75000E-03
-2.91030000E+00,-218.75000E-03,+62.50000E-03
-2.91025000E+00,-218.75000E-03,-93.75000E-03
-2.91020000E+00,-62.50000E-03,-93.75000E-03
-2.91015000E+00,-375.00000E-03,-93.75000E-03
-2.91010000E+00,-218.75000E-03,+62.50000E-03
-2.91005000E+00,-218.75000E-03,-93.75000E-03
-2.91000000E+00,-375.00000E-03,-93.75000E-03
-2.90995000E+00,-375.00000E-03,-93.75000E-03
-2.90990000E+00,-62.50000E-03,-93.75000E-03
-2.90985000E+00,-218.75000E-03,-93.75000E-03
-2.90980000E+00,-218.75000E-03,+62.50000E-03
-2.90975000E+00,-375.00000E-03,-93.75000E-03
-2.90970000E+00,-218.75000E-03,-93.75000E-03
-2.90965000E+00,-218.75000E-03,-93.75000E-03
-2.90960000E+00,-218.75000E-03,+62.50000E-03
-2.90955000E+00,-375.00000E-03,-93.75000E-03
-2.90950000E+00,-218.75000E-03,-93.75000E-03
-2.90945000E+00,-218.75000E-03,-93.75000E-03
-2.90940000E+00,-218.75000E-03,-93.75000E-03
-2.90935000E+00,-218.75000E-03,-93.75000E-03
-2.90930000E+00,-218.75000E-03,-250.00000E-03
-2.90925000E+00,-218.75000E-03,-93.75000E-03
-2.90920000E+00,-62.50000E-03,-93.75000E-03
-2.90915000E+00,-218.75000E-03,-93.75000E-03
-2.90910000E+00,-62.50000E-03,+62.50000E-03
-2.90905000E+00,-218.75000E-03,-93.75000E-03
-2.90900000E+00,-218.75000E-03,-93.75000E-03
-2.90895000E+00,-62.50000E-03,-93.75000E-03
-2.90890000E+00,-218.75000E-03,-93.75000E-03
-2.90885000E+00,-375.00000E-03,-93.75000E-03
-2.90880000E+00,-218.75000E-03,+62.50000E-03
-2.90875000E+00,-218.75000E-03,-93.75000E-03
-2.90870000E+00,-218.75000E-03,+62.50000E-03
-2.90865000E+00,-218.75000E-03,+62.50000E-03
-2.90860000E+00,-218.75000E-03,+62.50000E-03
-2.90855000E+00,-218.75000E-03,-93.75000E-03
-2.90850000E+00,-218.75000E-03,-93.75000E-03
-2.90845000E+00,-218.75000E-03,+62.50000E-03
-2.90840000E+00,-218.75000E-03,-93.75000E-03
-2.90835000E+00,-218.75000E-03,-93.75000E-03
-2.90830000E+00,-218.75000E-03,+62.50000E-03
-2.90825000E+00,-375.00000E-03,+62.50000E-03
-2.90820000E+00,-218.75000E-03,-93.75000E-03
-2.90815000E+00,-375.00000E-03,+62.50000E-03
-2.90810000E+00,-218.75000E-03,+62.50000E-03
-2.90805000E+00,-218.75000E-03,-93.75000E-03
-2.90800000E+00,-62.50000E-03,-93.75000E-03
-2.90795000E+00,-375.00000E-03,-93.75000E-03
