x-axis,VREF,VDD1V2
second,Volt,Volt
-4.3344000E+00,-0.0E+00,-156.2500E-03
-4.3340000E+00,-156.2500E-03,-0.0E+00
-4.3336000E+00,+0.0E+00,-156.2500E-03
-4.3332000E+00,-156.2500E-03,-156.2500E-03
-4.3328000E+00,-312.5000E-03,-0.0E+00
-4.3324000E+00,-156.2500E-03,+156.2500E-03
-4.3320000E+00,-312.5000E-03,-156.2500E-03
-4.3316000E+00,-312.5000E-03,-156.2500E-03
-4.3312000E+00,-156.2500E-03,-0.0E+00
-4.3308000E+00,-156.2500E-03,+0.0E+00
-4.3304000E+00,-156.2500E-03,+0.0E+00
-4.3300000E+00,-156.2500E-03,+0.0E+00
-4.3296000E+00,-312.5000E-03,+0.0E+00
-4.3292000E+00,-312.5000E-03,-156.2500E-03
-4.3288000E+00,-0.0E+00,-156.2500E-03
-4.3284000E+00,-312.5000E-03,-156.2500E-03
-4.3280000E+00,-156.2500E-03,-0.0E+00
-4.3276000E+00,-156.2500E-03,-156.2500E-03
-4.3272000E+00,-0.0E+00,-156.2500E-03
-4.3268000E+00,-156.2500E-03,+156.2500E-03
-4.3264000E+00,-156.2500E-03,-156.2500E-03
-4.3260000E+00,-156.2500E-03,-312.5000E-03
-4.3256000E+00,-156.2500E-03,-0.0E+00
-4.3252000E+00,-0.0E+00,-156.2500E-03
-4.3248000E+00,-156.2500E-03,-156.2500E-03
-4.3244000E+00,-156.2500E-03,-0.0E+00
-4.3240000E+00,-0.0E+00,+0.0E+00
-4.3236000E+00,+0.0E+00,-156.2500E-03
-4.3232000E+00,-156.2500E-03,-0.0E+00
-4.3228000E+00,-312.5000E-03,+0.0E+00
-4.3224000E+00,-0.0E+00,+156.2500E-03
-4.3220000E+00,-312.5000E-03,-156.2500E-03
-4.3216000E+00,-312.5000E-03,-0.0E+00
-4.3212000E+00,-156.2500E-03,+0.0E+00
-4.3208000E+00,-312.5000E-03,-156.2500E-03
-4.3204000E+00,-156.2500E-03,-0.0E+00
-4.3200000E+00,-312.5000E-03,+0.0E+00
-4.3196000E+00,-312.5000E-03,-156.2500E-03
-4.3192000E+00,-156.2500E-03,-0.0E+00
-4.3188000E+00,-156.2500E-03,+0.0E+00
-4.3184000E+00,-0.0E+00,-156.2500E-03
-4.3180000E+00,-156.2500E-03,-156.2500E-03
-4.3176000E+00,-312.5000E-03,-0.0E+00
-4.3172000E+00,-0.0E+00,+0.0E+00
-4.3168000E+00,+0.0E+00,-156.2500E-03
-4.3164000E+00,-312.5000E-03,-0.0E+00
-4.3160000E+00,-156.2500E-03,+0.0E+00
-4.3156000E+00,-0.0E+00,-156.2500E-03
-4.3152000E+00,-156.2500E-03,-156.2500E-03
-4.3148000E+00,-156.2500E-03,-156.2500E-03
-4.3144000E+00,-312.5000E-03,-0.0E+00
-4.3140000E+00,-156.2500E-03,-156.2500E-03
-4.3136000E+00,-156.2500E-03,-156.2500E-03
-4.3132000E+00,-156.2500E-03,-156.2500E-03
-4.3128000E+00,-0.0E+00,-156.2500E-03
-4.3124000E+00,-156.2500E-03,-0.0E+00
-4.3120000E+00,-156.2500E-03,+0.0E+00
-4.3116000E+00,-0.0E+00,+0.0E+00
-4.3112000E+00,-156.2500E-03,+0.0E+00
-4.3108000E+00,-156.2500E-03,-156.2500E-03
-4.3104000E+00,-156.2500E-03,+156.2500E-03
-4.3100000E+00,-156.2500E-03,-156.2500E-03
-4.3096000E+00,-156.2500E-03,-156.2500E-03
-4.3092000E+00,-156.2500E-03,-0.0E+00
-4.3088000E+00,-156.2500E-03,-156.2500E-03
-4.3084000E+00,-156.2500E-03,-156.2500E-03
-4.3080000E+00,-0.0E+00,-0.0E+00
-4.3076000E+00,-156.2500E-03,+0.0E+00
-4.3072000E+00,-156.2500E-03,+0.0E+00
-4.3068000E+00,-156.2500E-03,+0.0E+00
-4.3064000E+00,-312.5000E-03,+0.0E+00
-4.3060000E+00,-312.5000E-03,+0.0E+00
-4.3056000E+00,-156.2500E-03,+0.0E+00
-4.3052000E+00,-156.2500E-03,+0.0E+00
-4.3048000E+00,-312.5000E-03,-156.2500E-03
