x-axis,VREF,VDD1V2
second,Volt,Volt
-1.48765000E+00,-312.50000E-03,+0.0E+00
-1.48760000E+00,-312.50000E-03,+0.0E+00
-1.48755000E+00,-312.50000E-03,+0.0E+00
-1.48750000E+00,-156.25000E-03,+0.0E+00
-1.48745000E+00,-312.50000E-03,-0.0E+00
-1.48740000E+00,-156.25000E-03,-156.25000E-03
-1.48735000E+00,-312.50000E-03,-156.25000E-03
-1.48730000E+00,-156.25000E-03,+0.0E+00
-1.48725000E+00,-0.0E+00,+0.0E+00
-1.48720000E+00,-468.75000E-03,+0.0E+00
-1.48715000E+00,-156.25000E-03,+0.0E+00
-1.48710000E+00,-312.50000E-03,+0.0E+00
-1.48705000E+00,-0.0E+00,-0.0E+00
-1.48700000E+00,-156.25000E-03,-156.25000E-03
-1.48695000E+00,-156.25000E-03,+0.0E+00
-1.48690000E+00,-156.25000E-03,+156.25000E-03
-1.48685000E+00,-156.25000E-03,-0.0E+00
-1.48680000E+00,-312.50000E-03,-156.25000E-03
-1.48675000E+00,-156.25000E-03,-156.25000E-03
-1.48670000E+00,-312.50000E-03,-156.25000E-03
-1.48665000E+00,-312.50000E-03,-156.25000E-03
-1.48660000E+00,-156.25000E-03,-156.25000E-03
-1.48655000E+00,-156.25000E-03,-0.0E+00
-1.48650000E+00,-156.25000E-03,-156.25000E-03
-1.48645000E+00,-156.25000E-03,-156.25000E-03
-1.48640000E+00,-468.75000E-03,-0.0E+00
-1.48635000E+00,-156.25000E-03,-156.25000E-03
-1.48630000E+00,-156.25000E-03,+0.0E+00
-1.48625000E+00,-312.50000E-03,-0.0E+00
-1.48620000E+00,-312.50000E-03,-156.25000E-03
-1.48615000E+00,-156.25000E-03,+0.0E+00
-1.48610000E+00,-156.25000E-03,-0.0E+00
-1.48605000E+00,-156.25000E-03,-156.25000E-03
-1.48600000E+00,-156.25000E-03,-156.25000E-03
-1.48595000E+00,-312.50000E-03,+0.0E+00
-1.48590000E+00,-312.50000E-03,+0.0E+00
-1.48585000E+00,-312.50000E-03,+0.0E+00
-1.48580000E+00,-156.25000E-03,+0.0E+00
-1.48575000E+00,-156.25000E-03,+156.25000E-03
-1.48570000E+00,-156.25000E-03,-0.0E+00
-1.48565000E+00,-156.25000E-03,-156.25000E-03
-1.48560000E+00,-312.50000E-03,+0.0E+00
-1.48555000E+00,-156.25000E-03,-0.0E+00
-1.48550000E+00,-312.50000E-03,-156.25000E-03
-1.48545000E+00,-312.50000E-03,-156.25000E-03
-1.48540000E+00,-312.50000E-03,-156.25000E-03
-1.48535000E+00,-156.25000E-03,-156.25000E-03
-1.48530000E+00,-156.25000E-03,-156.25000E-03
-1.48525000E+00,-312.50000E-03,-0.0E+00
-1.48520000E+00,-312.50000E-03,-156.25000E-03
-1.48515000E+00,-312.50000E-03,-156.25000E-03
-1.48510000E+00,-312.50000E-03,-0.0E+00
-1.48505000E+00,-312.50000E-03,-156.25000E-03
-1.48500000E+00,-312.50000E-03,-0.0E+00
-1.48495000E+00,-156.25000E-03,-156.25000E-03
-1.48490000E+00,-312.50000E-03,+0.0E+00
-1.48485000E+00,-312.50000E-03,+0.0E+00
-1.48480000E+00,-156.25000E-03,+0.0E+00
-1.48475000E+00,-312.50000E-03,+0.0E+00
-1.48470000E+00,-156.25000E-03,+0.0E+00
-1.48465000E+00,-156.25000E-03,+156.25000E-03
-1.48460000E+00,-156.25000E-03,+0.0E+00
-1.48455000E+00,-312.50000E-03,+0.0E+00
-1.48450000E+00,-156.25000E-03,-0.0E+00
-1.48445000E+00,-156.25000E-03,-156.25000E-03
-1.48440000E+00,-156.25000E-03,+0.0E+00
-1.48435000E+00,-156.25000E-03,+156.25000E-03
-1.48430000E+00,-156.25000E-03,+0.0E+00
-1.48425000E+00,-312.50000E-03,+0.0E+00
-1.48420000E+00,-156.25000E-03,-0.0E+00
-1.48415000E+00,-312.50000E-03,-156.25000E-03
-1.48410000E+00,-156.25000E-03,-312.50000E-03
-1.48405000E+00,-312.50000E-03,-0.0E+00
-1.48400000E+00,-312.50000E-03,-156.25000E-03
-1.48395000E+00,-156.25000E-03,-0.0E+00
-1.48390000E+00,-156.25000E-03,-156.25000E-03
-1.48385000E+00,-312.50000E-03,-156.25000E-03
-1.48380000E+00,-156.25000E-03,-156.25000E-03
-1.48375000E+00,-156.25000E-03,-0.0E+00
-1.48370000E+00,-156.25000E-03,-156.25000E-03
-1.48365000E+00,-312.50000E-03,-156.25000E-03
-1.48360000E+00,-156.25000E-03,+0.0E+00
-1.48355000E+00,-312.50000E-03,+0.0E+00
-1.48350000E+00,-312.50000E-03,-0.0E+00
-1.48345000E+00,-312.50000E-03,-156.25000E-03
-1.48340000E+00,-468.75000E-03,-156.25000E-03
-1.48335000E+00,-156.25000E-03,-156.25000E-03
-1.48330000E+00,-156.25000E-03,+0.0E+00
-1.48325000E+00,-312.50000E-03,+0.0E+00
-1.48320000E+00,-156.25000E-03,+156.25000E-03
-1.48315000E+00,-156.25000E-03,-0.0E+00
-1.48310000E+00,-312.50000E-03,-156.25000E-03
-1.48305000E+00,-156.25000E-03,-156.25000E-03
-1.48300000E+00,-312.50000E-03,+0.0E+00
-1.48295000E+00,-156.25000E-03,-0.0E+00
-1.48290000E+00,-312.50000E-03,-156.25000E-03
-1.48285000E+00,-468.75000E-03,-0.0E+00
-1.48280000E+00,-156.25000E-03,-156.25000E-03
-1.48275000E+00,-156.25000E-03,-0.0E+00
-1.48270000E+00,-0.0E+00,-156.25000E-03
-1.48265000E+00,-312.50000E-03,-156.25000E-03
-1.48260000E+00,-156.25000E-03,+0.0E+00
-1.48255000E+00,-0.0E+00,+0.0E+00
-1.48250000E+00,-312.50000E-03,+0.0E+00
-1.48245000E+00,-312.50000E-03,+0.0E+00
-1.48240000E+00,-312.50000E-03,-0.0E+00
-1.48235000E+00,-156.25000E-03,-156.25000E-03
-1.48230000E+00,-312.50000E-03,-156.25000E-03
-1.48225000E+00,-312.50000E-03,-312.50000E-03
-1.48220000E+00,-156.25000E-03,+0.0E+00
-1.48215000E+00,-156.25000E-03,+0.0E+00
-1.48210000E+00,-312.50000E-03,+0.0E+00
-1.48205000E+00,-156.25000E-03,+0.0E+00
-1.48200000E+00,-156.25000E-03,-0.0E+00
-1.48195000E+00,-156.25000E-03,-156.25000E-03
-1.48190000E+00,-156.25000E-03,-156.25000E-03
-1.48185000E+00,-156.25000E-03,-0.0E+00
-1.48180000E+00,-468.75000E-03,-156.25000E-03
-1.48175000E+00,-156.25000E-03,+0.0E+00
-1.48170000E+00,-156.25000E-03,+0.0E+00
-1.48165000E+00,-312.50000E-03,+0.0E+00
-1.48160000E+00,-312.50000E-03,-0.0E+00
-1.48155000E+00,-156.25000E-03,-156.25000E-03
-1.48150000E+00,-156.25000E-03,-156.25000E-03
-1.48145000E+00,-156.25000E-03,-156.25000E-03
-1.48140000E+00,-312.50000E-03,+0.0E+00
-1.48135000E+00,-312.50000E-03,-0.0E+00
-1.48130000E+00,-156.25000E-03,-156.25000E-03
-1.48125000E+00,-156.25000E-03,+0.0E+00
-1.48120000E+00,-312.50000E-03,-0.0E+00
-1.48115000E+00,-312.50000E-03,-156.25000E-03
-1.48110000E+00,-312.50000E-03,+0.0E+00
-1.48105000E+00,-156.25000E-03,+0.0E+00
-1.48100000E+00,-156.25000E-03,-0.0E+00
-1.48095000E+00,-156.25000E-03,-156.25000E-03
-1.48090000E+00,-156.25000E-03,+0.0E+00
-1.48085000E+00,-156.25000E-03,+0.0E+00
-1.48080000E+00,-156.25000E-03,+156.25000E-03
-1.48075000E+00,-312.50000E-03,+156.25000E-03
-1.48070000E+00,-156.25000E-03,+0.0E+00
-1.48065000E+00,-312.50000E-03,-0.0E+00
-1.48060000E+00,-312.50000E-03,-156.25000E-03
-1.48055000E+00,-312.50000E-03,-0.0E+00
-1.48050000E+00,-312.50000E-03,-156.25000E-03
-1.48045000E+00,-468.75000E-03,-156.25000E-03
-1.48040000E+00,-312.50000E-03,-156.25000E-03
-1.48035000E+00,-156.25000E-03,-0.0E+00
-1.48030000E+00,-156.25000E-03,-156.25000E-03
-1.48025000E+00,-312.50000E-03,+0.0E+00
-1.48020000E+00,-156.25000E-03,+0.0E+00
-1.48015000E+00,-312.50000E-03,-0.0E+00
-1.48010000E+00,-312.50000E-03,-156.25000E-03
-1.48005000E+00,-312.50000E-03,+0.0E+00
-1.48000000E+00,-312.50000E-03,+156.25000E-03
-1.47995000E+00,-156.25000E-03,+0.0E+00
-1.47990000E+00,-156.25000E-03,+0.0E+00
-1.47985000E+00,-312.50000E-03,+0.0E+00
-1.47980000E+00,-156.25000E-03,+0.0E+00
-1.47975000E+00,-156.25000E-03,+0.0E+00
-1.47970000E+00,-312.50000E-03,-0.0E+00
-1.47965000E+00,-312.50000E-03,-156.25000E-03
-1.47960000E+00,-312.50000E-03,-0.0E+00
-1.47955000E+00,-156.25000E-03,-156.25000E-03
-1.47950000E+00,-312.50000E-03,-156.25000E-03
-1.47945000E+00,-312.50000E-03,-0.0E+00
-1.47940000E+00,-156.25000E-03,-156.25000E-03
-1.47935000E+00,-312.50000E-03,+0.0E+00
-1.47930000E+00,-312.50000E-03,-0.0E+00
-1.47925000E+00,-156.25000E-03,-156.25000E-03
-1.47920000E+00,-156.25000E-03,+0.0E+00
-1.47915000E+00,-312.50000E-03,+0.0E+00
-1.47910000E+00,-156.25000E-03,+0.0E+00
-1.47905000E+00,-156.25000E-03,-0.0E+00
-1.47900000E+00,-156.25000E-03,-156.25000E-03
-1.47895000E+00,-312.50000E-03,+0.0E+00
-1.47890000E+00,-156.25000E-03,+0.0E+00
-1.47885000E+00,-312.50000E-03,+156.25000E-03
-1.47880000E+00,-312.50000E-03,-156.25000E-03
-1.47875000E+00,-312.50000E-03,-156.25000E-03
-1.47870000E+00,-312.50000E-03,-156.25000E-03
-1.47865000E+00,-312.50000E-03,-156.25000E-03
-1.47860000E+00,-0.0E+00,-156.25000E-03
-1.47855000E+00,-156.25000E-03,+0.0E+00
-1.47850000E+00,-468.75000E-03,+0.0E+00
-1.47845000E+00,-156.25000E-03,+0.0E+00
-1.47840000E+00,-312.50000E-03,+0.0E+00
-1.47835000E+00,-156.25000E-03,-0.0E+00
-1.47830000E+00,-468.75000E-03,-156.25000E-03
-1.47825000E+00,-312.50000E-03,-156.25000E-03
-1.47820000E+00,-468.75000E-03,+0.0E+00
-1.47815000E+00,-312.50000E-03,-0.0E+00
-1.47810000E+00,-156.25000E-03,-156.25000E-03
-1.47805000E+00,-156.25000E-03,+0.0E+00
-1.47800000E+00,-312.50000E-03,-0.0E+00
-1.47795000E+00,-156.25000E-03,-156.25000E-03
-1.47790000E+00,-156.25000E-03,+156.25000E-03
-1.47785000E+00,-156.25000E-03,-312.50000E-03
-1.47780000E+00,-312.50000E-03,+0.0E+00
-1.47775000E+00,-156.25000E-03,+0.0E+00
-1.47770000E+00,-312.50000E-03,+0.0E+00
-1.47765000E+00,-312.50000E-03,+0.0E+00
