V1,V1cin,V1cout,I1,I1err,IC1,IC1err,PS,PSIN,,PC,%,R,Vcable,V1cincal,diff,PSINcal,,
5,5,0,0,0,0,0,0,0,,0,#DIV/0!,4.4,0,5,0,0,,
7,6.98,0.29,0.04,0,0.17,0,0.28,0.2792,,0.0493,17.6575931232092,4.4,0.176,6.824,-0.156000000000001,0.27296,2.3,16.1
8,7.6,0.55,0.06,0,0.33,0,0.48,0.456,,0.1815,39.8026315789474,4.4,0.264,7.736,0.136,0.46416,,
9,8.4,0.76,0.12,0.01,0.46,0,1.08,1.008,,0.3496,34.6825396825397,4.4,0.528,8.472,0.071999999999999,1.01664,,
10,9.21,0.94,0.13,0.01,0.57,0,1.3,1.1973,,0.5358,44.7506890503633,4.4,0.572,9.428,0.218,1.22564,,
11,10,1.01,0.17,0.01,0.67,0.01,1.87,1.7,,0.6767,39.8058823529412,4.4,0.748,10.252,0.252000000000001,1.74284,,
12,10.9,1.16,0.2,0.01,0.78,0.005,2.4,2.18,,0.9048,41.5045871559633,4.4,0.88,11.12,0.219999999999999,2.224,,
13,11.7,1.29,0.23,0.01,0.82,0.01,2.99,2.691,,1.0578,39.3088071348941,4.4,1.012,11.988,0.288,2.75724,,
14,12.4,1.44,0.26,0.01,0.91,0.01,3.64,3.224,,1.3104,40.6451612903226,4.4,1.144,12.856,0.456,3.34256,,
15,13.03,1.57,0.29,0.01,0.99,0.01,4.35,3.7787,,1.5543,41.1331939555932,4.4,1.276,13.724,0.694000000000001,3.97996,,
16,13.96,1.7,0.32,0.005,1.06,0.005,5.12,4.4672,,1.802,40.3384670487106,4.4,1.408,14.592,0.632,4.66944,,
17,14.6,1.85,0.36,0.005,1.16,0.01,6.12,5.256,,2.146,40.8295281582953,4.4,1.584,15.416,0.816000000000001,5.54976,,
17.3,14.82,1.91,0.38,0.01,1.2,0.005,6.574,5.6316,,2.292,40.6989132750906,4.4,1.672,15.628,0.808,5.93864,,
17.5,14.97,1.94,0.39,0.01,1.24,0.01,6.825,5.8383,,2.4056,41.2037750715105,4.4,1.716,15.784,0.813999999999998,6.15576,,
17.6,15.03,1.95,0.39,0.01,1.25,0.05,6.864,5.8617,,2.4375,41.583499667332,4.4,1.716,15.884,0.854000000000001,6.19476,,
17.8,15.14,2.03,0.41,0.01,1.27,0.01,7.298,6.2074,,2.5781,41.5326867931823,4.4,1.804,15.996,0.856,6.55836,,
18,15.22,2.09,0.43,0.02,1.31,0.05,7.74,6.5446,,2.7379,41.8344895027962,4.4,1.892,16.108,0.888,6.92644,0.89,16.02
18.5,15.48,2.18,0.47,0.02,1.41,0.01,8.695,7.2756,,3.0738,42.2480620155039,4.4,2.068,16.432,0.951999999999998,7.72304,,
18.7,15.54,2.23,0.49,0.01,1.45,0.01,9.163,7.6146,,3.2335,42.4644761379455,4.4,2.156,16.544,1.004,8.10656,,
19,15.57,2.35,0.52,0.005,1.5,0.05,9.88,8.0964,,3.525,43.5378686823774,4.4,2.288,16.712,1.142,8.69024,,
19.5,15.49,2.56,0.61,0.005,1.66,0.01,11.895,9.4489,,4.2496,44.9745473018023,4.4,2.684,16.816,1.326,10.25776,,
19.8,15.3,2.82,0.69,0.005,1.8,0.01,13.662,10.557,,5.076,48.0818414322251,4.4,3.036,16.764,1.464,11.56716,,
20,15.09,2.92,0.73,0.005,1.89,0.01,14.6,11.0157,,5.5188,50.0994035785288,4.4,3.212,16.788,1.698,12.25524,,
20.2,14.71,3.2,0.84,0.005,2.16,0.01,16.968,12.3564,,6.912,55.9386228998738,4.4,3.696,16.504,1.794,13.86336,,
20.4,14.1,3.5,0.92,0.005,2.23,0.01,18.768,12.972,,7.805,60.168054270737,4.4,4.048,16.352,2.252,15.04384,,
20.8,11.7,4.99,1.43,0.005,3.24,0.01,29.744,16.731,,16.1676,96.6325981710597,4.4,6.292,14.508,2.808,20.74644,,
21,12.33,4.99,1.32,0.005,3.26,0.01,27.72,16.2756,,16.2674,99.9496178328295,4.4,5.808,15.192,2.862,20.05344,,
21.5,13.25,4.99,1.24,0.005,3.26,0.01,26.66,16.43,,16.2674,99.0103469263542,4.4,5.456,16.044,2.794,19.89456,,
21.8,13.89,4.99,1.18,0.005,3.31,0.01,25.724,16.3902,,16.5169,100.77302290393,4.4,5.192,16.608,2.718,19.59744,,
22,14.45,4.99,1.14,0.005,3.31,0.01,25.08,16.473,,16.5169,100.266496691556,4.4,5.016,16.984,2.534,19.36176,,
22.5,15.3,4.99,1.07,0.005,3.31,0.005,24.075,16.371,,16.5169,100.891210066581,4.4,4.708,17.792,2.492,19.03744,,
23,16.24,4.99,1.02,0.005,3.31,0.005,23.46,16.5648,,16.5169,99.7108326089056,4.4,4.488,18.512,2.272,18.88224,,
24,18,4.99,0.92,0.005,3.31,0.005,22.08,16.56,,16.5169,99.7397342995169,4.4,4.048,19.952,1.952,18.35584,,
25,19.4,4.99,0.85,0.005,3.31,0.005,21.25,16.49,,16.5169,100.163129169193,4.4,3.74,21.26,1.86,18.071,,
26,20.7,4.99,0.8,0.005,3.31,0.005,20.8,16.56,,16.5169,99.7397342995169,4.4,3.52,22.48,1.78,17.984,,
28,23.48,4.99,0.71,0.005,3.31,0.005,19.88,16.6708,,16.5169,99.0768289464213,4.4,3.124,24.876,1.396,17.66196,,
30,25.93,4.99,0.65,0.005,3.31,0.005,19.5,16.8545,,16.5169,97.9969741018719,4.4,2.86,27.14,1.21,17.641,,
32,28.29,4.99,0.6,0.005,3.31,0.005,19.2,16.974,,16.5169,97.3070578531872,4.4,2.64,29.36,1.07,17.616,,
34,30.56,4.99,0.55,0.005,3.31,0.005,18.7,16.808,,16.5169,98.2680866254165,4.4,2.42,31.58,1.02,17.369,,
36,32.8,4.99,0.52,0.005,3.31,0.005,18.72,17.056,,16.5169,96.8392354596623,4.4,2.288,33.712,0.912000000000006,17.53024,,
38,35.6,4.99,0.47,0.005,3.31,0.005,17.86,16.732,,16.5169,98.7144393975615,4.4,2.068,35.932,0.332000000000001,16.88804,,
40,37.75,4.99,0.44,0.005,3.31,0.005,17.6,16.61,,16.5169,99.4394942805539,4.4,1.936,38.064,0.314,16.74816,,
