#x,Energy_deposition,[eV],Thickness,nm,,rho,(g/cm3),,,,
sio2,128.77,1000,2.32,,,,,,,,
Al,105.71,2800,2.7,,,,,,sio2[],182.56,eV
sio2,36.283,800,2.32,,,,,,Sio2[50],939.07 eV,
cu,1917.2,3400,8.96,,,,,,,,
sio2,41.431,670,2.32,,,,,,,4500,
cu,402.09,900,8.96,,,,,,,5800,
sio2,37.902,670,2.32,,,,,,,2800,
cu,82.46,220,8.96,,,,,,,,
sio2,14.868,175,2.32,,,,,,,,
cu,83.496,220,8.96,,,,,,,,
sio2,15.734,175,2.32,,,,,,,,
cu,86.143,220,8.96,,,,,,,,
sio2,16.717,175,2.32,,,,,,,,
cu,82.755,220,8.96,,,,,,,,
sio2,16.377,175,2.32,,,,,,,,
cu,84.197,220,8.96,,,,,,,,
sio2,14.484,175,2.32,,,,,,,,
cu,76.364,220,8.96,,,,,,,,
sio2,13.64,175,2.32,,,,,,,,
cu,54.196,180,8.96,,,,,,,,
sio2,12.256,310,2.32,,,,,,,,
