
Processing Root_to_Ascii.C...
0.15 2.35371e+07
0.45 0
0.75 0
1.05 130
1.35 106
1.65 7075
1.95 20169
2.25 26847
2.55 33461
2.85 39111
3.15 41338
3.45 41827
3.75 41898
4.05 40061
4.35 38922
4.65 37234
4.95 35291
5.25 33840
5.55 31869
5.85 30550
6.15 28567
6.45 26797
6.75 25348
7.05 25097
7.35 29788
7.65 22093
7.95 32705
8.25 89125
8.55 21841
8.85 19585
9.15 24333
9.45 49762
9.75 59559
10.05 20288
10.35 14359
10.65 14227
10.95 16334
11.25 19297
11.55 14421
11.85 12021
12.15 11258
12.45 10318
12.75 9905
13.05 9957
13.35 9435
13.65 9143
13.95 8823
14.25 8682
14.55 8290
14.85 7874
15.15 7600
15.45 7359
15.75 7146
16.05 6892
16.35 6687
16.65 6378
16.95 6299
17.25 6129
17.55 5855
17.85 5654
18.15 5596
18.45 5363
18.75 5415
19.05 5050
19.35 5008
19.65 4762
19.95 4651
20.25 4521
20.55 4418
20.85 4237
21.15 4113
21.45 3988
21.75 3884
22.05 3716
22.35 3592
22.65 3601
22.95 3460
23.25 3468
23.55 3319
23.85 3194
24.15 3258
24.45 3091
24.75 2940
25.05 2923
25.35 2817
25.65 2746
25.95 2752
26.25 2632
26.55 2521
26.85 2549
27.15 2406
27.45 2490
27.75 2369
28.05 2206
28.35 2214
28.65 2133
28.95 2131
29.25 2006
29.55 1947
29.85 1914
30.15 1853
30.45 1807
30.75 1670
31.05 1750
31.35 1661
31.65 1590
31.95 1587
32.25 1502
32.55 1520
32.85 1427
33.15 1451
33.45 1429
33.75 1343
34.05 1322
34.35 1299
34.65 1260
34.95 1176
35.25 1159
35.55 1125
35.85 1109
36.15 1021
36.45 984
36.75 922
37.05 898
37.35 873
37.65 809
37.95 811
38.25 783
38.55 751
38.85 724
39.15 649
39.45 670
39.75 605
40.05 621
40.35 519
40.65 514
40.95 498
41.25 474
41.55 439
41.85 413
42.15 367
42.45 315
42.75 288
43.05 277
43.35 263
43.65 255
43.95 260
44.25 223
44.55 203
44.85 181
45.15 150
45.45 123
45.75 141
46.05 93
46.35 105
46.65 69
46.95 51
47.25 67
47.55 67
47.85 37
48.15 27
48.45 24
48.75 13
49.05 17
49.35 3
49.65 2
49.95 0
50.25 0
50.55 0
50.85 0
51.15 0
51.45 0
51.75 0
52.05 0
52.35 0
52.65 0
52.95 0
53.25 0
53.55 0
53.85 0
54.15 0
54.45 0
54.75 0
55.05 0
55.35 0
55.65 0
55.95 0
56.25 0
56.55 0
56.85 0
57.15 0
57.45 0
57.75 0
58.05 0
58.35 0
58.65 0
58.95 0
59.25 0
59.55 0
59.85 0
